Godot Engine v4.5.1.stable.official.f62fdbde1 - https://godotengine.org
WARNING: Could not set V-Sync mode, as changing V-Sync mode is not supported by the graphics driver.
     at: set_use_vsync (platform/linuxbsd/x11/gl_manager_x11.cpp:364)
OpenGL API 4.5 (Core Profile) Mesa 26.0.8-1ubuntu0.3 - Compatibility - Using Device: Mesa - llvmpipe (LLVM 21.1.8, 256 bits)

CHECK_FAIL frustum_0_0_-12.5_-12.5 [-0.28628474473953, -0.40435156226158]
CHECK_FAIL frustum_0_0_-12.5_12.5 [-0.79564809799194, 2.4339702129364]
CHECK_FAIL frustum_0_0_12.5_-12.5 [1.28628468513489, -0.40435156226158]
CHECK_FAIL frustum_0_0_12.5_12.5 [1.79564821720123, 2.4339702129364]
CHECK_FAIL frustum_0_2_-12.5_-12.5 [-0.31475657224655, -0.59213328361511]
CHECK_FAIL frustum_0_2_-12.5_12.5 [-0.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_0_2_12.5_-12.5 [1.3147566318512, -0.59213328361511]
CHECK_FAIL frustum_0_2_12.5_12.5 [1.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_0_4_-12.5_-12.5 [-0.34536790847778, -0.794025182724]
CHECK_FAIL frustum_0_4_-12.5_12.5 [-0.96428442001343, 2.12843012809753]
CHECK_FAIL frustum_0_4_12.5_-12.5 [1.34536790847778, -0.794025182724]
CHECK_FAIL frustum_0_4_12.5_12.5 [1.96428453922272, 2.12843012809753]
CHECK_FAIL frustum_0_8_-12.5_-12.5 [-0.41405183076859, -1.2470189332962]
CHECK_FAIL frustum_0_8_-12.5_12.5 [-1.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_0_8_12.5_-12.5 [1.41405177116394, -1.2470189332962]
CHECK_FAIL frustum_0_8_12.5_12.5 [2.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_1_0_-12.5_-12.5 [-0.28628474473953, -0.40435156226158]
CHECK_FAIL frustum_1_0_-12.5_12.5 [-0.79564809799194, 2.4339702129364]
CHECK_FAIL frustum_1_0_12.5_-12.5 [1.28628468513489, -0.40435156226158]
CHECK_FAIL frustum_1_0_12.5_12.5 [1.79564821720123, 2.4339702129364]
CHECK_FAIL frustum_1_2_-12.5_-12.5 [-0.31475657224655, -0.59213328361511]
CHECK_FAIL frustum_1_2_-12.5_12.5 [-0.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_1_2_12.5_-12.5 [1.3147566318512, -0.59213328361511]
CHECK_FAIL frustum_1_2_12.5_12.5 [1.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_1_4_-12.5_-12.5 [-0.34536790847778, -0.794025182724]
CHECK_FAIL frustum_1_4_-12.5_12.5 [-0.96428442001343, 2.12843012809753]
CHECK_FAIL frustum_1_4_12.5_-12.5 [1.34536790847778, -0.794025182724]
CHECK_FAIL frustum_1_4_12.5_12.5 [1.96428453922272, 2.12843012809753]
CHECK_FAIL frustum_1_8_-12.5_-12.5 [-0.41405183076859, -1.2470189332962]
CHECK_FAIL frustum_1_8_-12.5_12.5 [-1.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_1_8_12.5_-12.5 [1.41405177116394, -1.2470189332962]
CHECK_FAIL frustum_1_8_12.5_12.5 [2.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_2_0_-12.5_-12.5 [-0.28628474473953, -0.40435156226158]
CHECK_FAIL frustum_2_0_-12.5_12.5 [-0.79564809799194, 2.4339702129364]
CHECK_FAIL frustum_2_0_12.5_-12.5 [1.28628468513489, -0.40435156226158]
CHECK_FAIL frustum_2_0_12.5_12.5 [1.79564821720123, 2.4339702129364]
CHECK_FAIL frustum_2_2_-12.5_-12.5 [-0.31475657224655, -0.59213328361511]
CHECK_FAIL frustum_2_2_-12.5_12.5 [-0.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_2_2_12.5_-12.5 [1.3147566318512, -0.59213328361511]
CHECK_FAIL frustum_2_2_12.5_12.5 [1.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_2_4_-12.5_-12.5 [-0.34536790847778, -0.794025182724]
CHECK_FAIL frustum_2_4_-12.5_12.5 [-0.96428442001343, 2.12843012809753]
CHECK_FAIL frustum_2_4_12.5_-12.5 [1.34536790847778, -0.794025182724]
CHECK_FAIL frustum_2_4_12.5_12.5 [1.96428453922272, 2.12843012809753]
CHECK_FAIL frustum_2_8_-12.5_-12.5 [-0.41405183076859, -1.2470189332962]
CHECK_FAIL frustum_2_8_-12.5_12.5 [-1.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_2_8_12.5_-12.5 [1.41405177116394, -1.2470189332962]
CHECK_FAIL frustum_2_8_12.5_12.5 [2.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_3_0_-12.5_-12.5 [-0.28628474473953, -0.40435156226158]
CHECK_FAIL frustum_3_0_-12.5_12.5 [-0.79564809799194, 2.4339702129364]
CHECK_FAIL frustum_3_0_12.5_-12.5 [1.28628468513489, -0.40435156226158]
CHECK_FAIL frustum_3_0_12.5_12.5 [1.79564821720123, 2.4339702129364]
CHECK_FAIL frustum_3_2_-12.5_-12.5 [-0.31475657224655, -0.59213328361511]
CHECK_FAIL frustum_3_2_-12.5_12.5 [-0.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_3_2_12.5_-12.5 [1.3147566318512, -0.59213328361511]
CHECK_FAIL frustum_3_2_12.5_12.5 [1.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_3_4_-12.5_-12.5 [-0.34536790847778, -0.794025182724]
CHECK_FAIL frustum_3_4_-12.5_12.5 [-0.96428442001343, 2.12843012809753]
CHECK_FAIL frustum_3_4_12.5_-12.5 [1.34536790847778, -0.794025182724]
CHECK_FAIL frustum_3_4_12.5_12.5 [1.96428453922272, 2.12843012809753]
CHECK_FAIL frustum_3_8_-12.5_-12.5 [-0.41405183076859, -1.2470189332962]
CHECK_FAIL frustum_3_8_-12.5_12.5 [-1.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_3_8_12.5_-12.5 [1.41405177116394, -1.2470189332962]
CHECK_FAIL frustum_3_8_12.5_12.5 [2.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_4_0_-12.5_-12.5 [-0.28628474473953, -0.40435156226158]
CHECK_FAIL frustum_4_0_-12.5_12.5 [-0.79564809799194, 2.4339702129364]
CHECK_FAIL frustum_4_0_12.5_-12.5 [1.28628468513489, -0.40435156226158]
CHECK_FAIL frustum_4_0_12.5_12.5 [1.79564821720123, 2.4339702129364]
CHECK_FAIL frustum_4_2_-12.5_-12.5 [-0.31475657224655, -0.59213328361511]
CHECK_FAIL frustum_4_2_-12.5_12.5 [-0.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_4_2_12.5_-12.5 [1.3147566318512, -0.59213328361511]
CHECK_FAIL frustum_4_2_12.5_12.5 [1.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_4_4_-12.5_-12.5 [-0.34536790847778, -0.794025182724]
CHECK_FAIL frustum_4_4_-12.5_12.5 [-0.96428442001343, 2.12843012809753]
CHECK_FAIL frustum_4_4_12.5_-12.5 [1.34536790847778, -0.794025182724]
CHECK_FAIL frustum_4_4_12.5_12.5 [1.96428453922272, 2.12843012809753]
CHECK_FAIL frustum_4_8_-12.5_-12.5 [-0.41405183076859, -1.2470189332962]
CHECK_FAIL frustum_4_8_-12.5_12.5 [-1.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_4_8_12.5_-12.5 [1.41405177116394, -1.2470189332962]
CHECK_FAIL frustum_4_8_12.5_12.5 [2.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_5_0_-12.5_-12.5 [-0.28628474473953, -0.40435156226158]
CHECK_FAIL frustum_5_0_-12.5_12.5 [-0.79564809799194, 2.4339702129364]
CHECK_FAIL frustum_5_0_12.5_-12.5 [1.28628468513489, -0.40435156226158]
CHECK_FAIL frustum_5_0_12.5_12.5 [1.79564821720123, 2.4339702129364]
CHECK_FAIL frustum_5_2_-12.5_-12.5 [-0.31475657224655, -0.59213328361511]
CHECK_FAIL frustum_5_2_-12.5_12.5 [-0.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_5_2_12.5_-12.5 [1.3147566318512, -0.59213328361511]
CHECK_FAIL frustum_5_2_12.5_12.5 [1.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_5_4_-12.5_-12.5 [-0.34536790847778, -0.794025182724]
CHECK_FAIL frustum_5_4_-12.5_12.5 [-0.96428442001343, 2.12843012809753]
CHECK_FAIL frustum_5_4_12.5_-12.5 [1.34536790847778, -0.794025182724]
CHECK_FAIL frustum_5_4_12.5_12.5 [1.96428453922272, 2.12843012809753]
CHECK_FAIL frustum_5_8_-12.5_-12.5 [-0.41405183076859, -1.2470189332962]
CHECK_FAIL frustum_5_8_-12.5_12.5 [-1.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_5_8_12.5_-12.5 [1.41405177116394, -1.2470189332962]
CHECK_FAIL frustum_5_8_12.5_12.5 [2.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_6_0_-12.5_-12.5 [-0.28628474473953, -0.40435156226158]
CHECK_FAIL frustum_6_0_-12.5_12.5 [-0.79564809799194, 2.4339702129364]
CHECK_FAIL frustum_6_0_12.5_-12.5 [1.28628468513489, -0.40435156226158]
CHECK_FAIL frustum_6_0_12.5_12.5 [1.79564821720123, 2.4339702129364]
CHECK_FAIL frustum_6_2_-12.5_-12.5 [-0.31475657224655, -0.59213328361511]
CHECK_FAIL frustum_6_2_-12.5_12.5 [-0.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_6_2_12.5_-12.5 [1.3147566318512, -0.59213328361511]
CHECK_FAIL frustum_6_2_12.5_12.5 [1.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_6_4_-12.5_-12.5 [-0.34536790847778, -0.794025182724]
CHECK_FAIL frustum_6_4_-12.5_12.5 [-0.96428442001343, 2.12843012809753]
CHECK_FAIL frustum_6_4_12.5_-12.5 [1.34536790847778, -0.794025182724]
CHECK_FAIL frustum_6_4_12.5_12.5 [1.96428453922272, 2.12843012809753]
CHECK_FAIL frustum_6_8_-12.5_-12.5 [-0.41405183076859, -1.2470189332962]
CHECK_FAIL frustum_6_8_-12.5_12.5 [-1.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_6_8_12.5_-12.5 [1.41405177116394, -1.2470189332962]
CHECK_FAIL frustum_6_8_12.5_12.5 [2.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_7_0_-12.5_-12.5 [-0.28628474473953, -0.40435156226158]
CHECK_FAIL frustum_7_0_-12.5_12.5 [-0.79564809799194, 2.4339702129364]
CHECK_FAIL frustum_7_0_12.5_-12.5 [1.28628468513489, -0.40435156226158]
CHECK_FAIL frustum_7_0_12.5_12.5 [1.79564821720123, 2.4339702129364]
CHECK_FAIL frustum_7_2_-12.5_-12.5 [-0.31475657224655, -0.59213328361511]
CHECK_FAIL frustum_7_2_-12.5_12.5 [-0.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_7_2_12.5_-12.5 [1.3147566318512, -0.59213328361511]
CHECK_FAIL frustum_7_2_12.5_12.5 [1.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_7_4_-12.5_-12.5 [-0.34536790847778, -0.794025182724]
CHECK_FAIL frustum_7_4_-12.5_12.5 [-0.96428442001343, 2.12843012809753]
CHECK_FAIL frustum_7_4_12.5_-12.5 [1.34536790847778, -0.794025182724]
CHECK_FAIL frustum_7_4_12.5_12.5 [1.96428453922272, 2.12843012809753]
CHECK_FAIL frustum_7_8_-12.5_-12.5 [-0.41405183076859, -1.2470189332962]
CHECK_FAIL frustum_7_8_-12.5_12.5 [-1.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_7_8_12.5_-12.5 [1.41405177116394, -1.2470189332962]
CHECK_FAIL frustum_7_8_12.5_12.5 [2.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_8_0_-12.5_-12.5 [-0.28628474473953, -0.40435156226158]
CHECK_FAIL frustum_8_0_-12.5_12.5 [-0.79564809799194, 2.4339702129364]
CHECK_FAIL frustum_8_0_12.5_-12.5 [1.28628468513489, -0.40435156226158]
CHECK_FAIL frustum_8_0_12.5_12.5 [1.79564821720123, 2.4339702129364]
CHECK_FAIL frustum_8_2_-12.5_-12.5 [-0.31475657224655, -0.59213328361511]
CHECK_FAIL frustum_8_2_-12.5_12.5 [-0.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_8_2_12.5_-12.5 [1.3147566318512, -0.59213328361511]
CHECK_FAIL frustum_8_2_12.5_12.5 [1.87481439113617, 2.29053473472595]
CHECK_FAIL frustum_8_4_-12.5_-12.5 [-0.34536790847778, -0.794025182724]
CHECK_FAIL frustum_8_4_-12.5_12.5 [-0.96428442001343, 2.12843012809753]
CHECK_FAIL frustum_8_4_12.5_-12.5 [1.34536790847778, -0.794025182724]
CHECK_FAIL frustum_8_4_12.5_12.5 [1.96428453922272, 2.12843012809753]
CHECK_FAIL frustum_8_8_-12.5_-12.5 [-0.41405183076859, -1.2470189332962]
CHECK_FAIL frustum_8_8_-12.5_12.5 [-1.1833872795105, 1.73145365715027]
CHECK_FAIL frustum_8_8_12.5_-12.5 [1.41405177116394, -1.2470189332962]
CHECK_FAIL frustum_8_8_12.5_12.5 [2.1833872795105, 1.73145365715027]
CHECK_FAIL off_arena_aim_is_null <null>
CHECK_FAIL gameplay_location_in_frustum_(0.0, 0.0, 10.0) <null>
CHECK_FAIL gameplay_location_in_frustum_(0.0, 0.0, -10.0) <null>
CHECK_FAIL gameplay_location_in_frustum_(-10.0, 0.0, -10.0) <null>
CHECK_FAIL gameplay_location_in_frustum_(10.0, 0.0, -10.0) <null>
CHECK_FAIL gameplay_location_in_frustum_(-10.0, 0.0, 10.0) <null>
CHECK_FAIL gameplay_location_in_frustum_(10.0, 0.0, 10.0) <null>
CHECK_FAIL gameplay_location_in_frustum_(-10.0, 0.0, 0.0) <null>
CHECK_FAIL gameplay_location_in_frustum_(10.0, 0.0, 0.0) <null>
CHECK_FAIL gameplay_location_in_frustum_(-8.0, 0.0, -7.0) <null>
CHECK_FAIL gameplay_location_in_frustum_(8.0, 0.0, -6.0) <null>
CHECK_FAIL gameplay_location_in_frustum_(0.0, 0.0, 6.0) <null>
CHECK_FAIL rendered_airborne_gold_pixels_overview 0
CHECK_FAIL rendered_airborne_gold_pixels_southwest 0
CHECK_FAIL rendered_airborne_gold_pixels_northwest 0
CHECK_FAIL rendered_airborne_gold_pixels_northeast 0
CHECK_FAIL rendered_airborne_gold_pixels_southeast 0
CHECK_FAIL rendered_airborne_gold_pixels_airborne 0
ARENA_TEST_DONE checks=337 failures=162 output=/opt/g-harness/workspace/G12/node_2_step_132/repo/evidence/arena/n2-s132-negative
