unix_seconds,tick,interval_ms,physics_ms,active,sleeping,capture_overlap
1789336510.011015,2,2.000000,0.000000,32,0,0
1789336510.140156,10,129.139000,0.000000,32,0,0
1789336510.198779,15,58.626000,0.000000,32,0,0
1789336510.232238,17,33.458000,0.000000,32,0,0
1789336510.262711,19,30.472000,0.000000,32,0,0
1789336510.289539,20,26.829000,0.000000,32,0,0
1789336510.317587,22,28.050000,0.000000,32,0,0
1789336510.346481,24,28.893000,0.000000,32,0,0
1789336510.374695,25,28.215000,0.000000,32,0,0
1789336510.399424,27,24.730000,0.000000,32,0,0
1789336510.428345,29,28.921000,0.000000,32,0,0
1789336510.456400,30,28.055000,0.000000,32,0,0
1789336510.487977,32,31.575000,0.000000,32,0,0
1789336510.520144,34,32.170000,0.000000,32,0,0
1789336510.548760,36,28.616000,0.000000,32,0,0
1789336510.585622,37,36.858000,0.000000,32,0,0
1789336510.618799,39,33.182000,0.000000,32,0,0
1789336510.651904,41,33.105000,9.981000,32,0,0
1789336510.683815,43,31.911000,9.981000,32,0,0
1789336510.717549,45,33.734000,9.981000,32,0,0
1789336510.750997,47,33.448000,9.981000,32,0,0
1789336510.784003,49,33.007000,9.981000,32,0,0
1789336510.815682,51,31.677000,9.981000,32,0,0
1789336510.849030,53,33.350000,9.981000,32,0,0
1789336510.884959,55,35.927000,9.981000,32,0,0
1789336510.918726,57,33.770000,9.981000,32,0,0
1789336510.954397,59,35.669000,9.981000,32,0,0
1789336510.988393,61,33.999000,9.981000,32,0,0
1789336511.020705,63,32.311000,9.981000,32,0,0
1789336511.052178,65,31.474000,9.981000,32,0,0
1789336511.085598,67,33.420000,9.981000,32,0,0
1789336511.119398,69,33.800000,9.981000,32,0,0
1789336511.156064,71,36.666000,9.981000,32,0,0
1789336511.189643,73,33.580000,9.981000,32,0,0
1789336511.225968,75,36.325000,9.981000,32,0,0
1789336511.262271,78,36.304000,9.981000,32,0,0
1789336511.296717,80,34.445000,9.981000,32,0,0
1789336511.331433,82,34.716000,9.981000,32,0,0
1789336511.366293,84,34.861000,9.981000,32,0,0
1789336511.403432,86,37.136000,9.981000,32,0,0
1789336511.437908,88,34.479000,9.981000,32,0,0
1789336511.477549,90,39.641000,9.981000,32,0,0
1789336511.516631,93,39.081000,9.981000,32,0,0
1789336511.554575,95,37.945000,9.981000,32,0,0
1789336511.592764,97,38.190000,9.981000,32,0,0
1789336511.628499,100,35.737000,1.158000,32,0,0
1789336511.657363,102,28.863000,1.158000,32,0,0
1789336511.692025,104,34.664000,1.158000,32,0,0
1789336511.728404,106,36.379000,1.158000,32,0,0
1789336511.767698,109,39.292000,1.158000,32,0,0
1789336511.804482,111,36.784000,1.158000,32,0,0
1789336511.841692,113,37.211000,1.158000,32,0,0
1789336511.874636,115,32.947000,1.158000,32,0,0
1789336511.908482,117,33.845000,1.158000,32,0,0
1789336511.941274,119,32.792000,1.158000,32,0,0
1789336511.973391,121,32.117000,1.158000,32,0,0
1789336512.005441,123,32.049000,1.158000,32,0,0
1789336512.041964,125,36.522000,1.158000,32,0,0
1789336512.076753,127,34.793000,1.158000,32,0,0
1789336512.109677,129,32.923000,1.158000,32,0,0
1789336512.143025,131,33.350000,1.158000,32,0,0
1789336512.177512,133,34.484000,1.158000,32,0,0
1789336512.211863,135,34.352000,1.158000,32,0,0
1789336512.241544,137,29.681000,1.158000,32,0,0
1789336512.270618,139,29.074000,1.158000,32,0,0
1789336512.300703,141,30.087000,1.158000,32,0,0
1789336512.328584,143,27.882000,1.158000,32,0,0
1789336512.356402,144,27.818000,1.158000,32,0,0
1789336512.385866,146,29.464000,1.158000,32,0,0
1789336512.415425,148,29.557000,1.158000,32,0,0
1789336512.445614,150,30.191000,1.158000,32,0,0
1789336512.476370,151,30.757000,1.158000,32,0,0
1789336512.507858,153,31.488000,1.158000,32,0,0
1789336512.540394,155,32.534000,1.158000,32,0,0
1789336512.569272,157,28.881000,1.158000,32,0,0
1789336512.597701,159,28.429000,1.158000,32,0,0
1789336512.627812,160,30.110000,1.070000,32,0,0
1789336512.658632,162,30.821000,1.070000,32,0,0
1789336512.691341,164,32.707000,1.070000,32,0,0
1789336512.722953,166,31.616000,1.070000,32,0,0
1789336512.754235,168,31.281000,1.070000,32,0,0
1789336512.786542,169,32.307000,1.070000,32,0,0
1789336512.821136,171,34.595000,1.070000,32,0,0
1789336512.853791,173,32.655000,1.070000,32,0,0
1789336512.884889,175,31.098000,1.070000,32,0,0
1789336512.915907,177,31.016000,1.070000,32,0,0
1789336512.948329,179,32.406000,1.070000,32,0,0
1789336512.979747,181,31.437000,1.070000,32,0,0
1789336513.008710,182,28.963000,1.070000,32,0,0
1789336513.037041,184,28.331000,1.070000,32,0,0
1789336513.064223,186,27.180000,1.070000,32,0,0
1789336513.089678,188,25.458000,1.070000,32,0,0
1789336513.117899,190,28.221000,1.070000,32,0,0
1789336513.147897,192,29.999000,1.070000,32,0,0
1789336513.181703,193,33.802000,1.070000,32,0,0
1789336513.218734,195,37.034000,1.070000,32,0,0
1789336513.254148,197,35.414000,1.070000,32,0,0
1789336513.292143,199,37.996000,1.070000,32,0,0
1789336513.329412,202,37.271000,1.070000,32,0,0
1789336513.364530,204,35.118000,1.070000,32,0,0
1789336513.399908,206,35.375000,1.070000,32,0,0
1789336513.434038,208,34.132000,1.070000,32,0,0
