unix_seconds,tick,interval_ms,physics_ms,active,sleeping,capture_overlap
1789336544.834910,2,1.787000,0.000000,32,0,0
1789336544.975353,10,140.430000,0.000000,32,0,0
1789336545.039513,15,64.175000,0.000000,32,0,0
1789336545.073784,17,34.271000,0.000000,32,0,0
1789336545.111087,19,37.301000,0.000000,32,0,0
1789336545.148405,21,37.322000,0.000000,32,0,0
1789336545.181357,23,32.952000,0.000000,32,0,0
1789336545.214911,25,33.554000,0.000000,32,0,0
1789336545.247650,27,32.739000,0.000000,32,0,0
1789336545.284943,29,37.278000,0.000000,32,0,0
1789336545.319739,31,34.812000,0.000000,32,0,0
1789336545.357043,33,37.304000,0.000000,32,0,0
1789336545.391917,35,34.874000,0.000000,32,0,0
1789336545.427966,38,36.049000,0.000000,32,0,0
1789336545.461645,40,33.679000,9.075000,32,0,0
1789336545.495150,42,33.506000,9.075000,32,0,0
1789336545.525845,44,30.696000,9.075000,32,0,0
1789336545.559405,46,33.557000,9.075000,32,0,0
1789336545.592453,48,33.051000,9.075000,32,0,0
1789336545.626829,50,34.376000,9.075000,32,0,0
1789336545.660877,52,34.045000,9.075000,32,0,0
1789336545.698528,54,37.655000,9.075000,32,0,0
1789336545.736039,56,37.511000,9.075000,32,0,0
1789336545.772426,58,36.388000,9.075000,32,0,0
1789336545.810567,61,38.140000,9.075000,32,0,0
1789336545.847718,63,37.151000,9.075000,32,0,0
1789336545.883998,65,36.279000,9.075000,32,0,0
1789336545.918585,67,34.588000,9.075000,32,0,0
1789336545.953853,69,35.271000,9.075000,32,0,0
1789336545.986494,71,32.641000,9.075000,32,0,0
1789336546.019085,73,32.591000,9.075000,32,0,0
1789336546.046503,75,27.418000,9.075000,32,0,0
1789336546.080720,77,34.215000,9.075000,32,0,0
1789336546.112207,79,31.490000,9.075000,32,0,0
1789336546.144072,81,31.865000,9.075000,32,0,0
1789336546.172451,83,28.377000,9.075000,32,0,0
1789336546.200132,84,27.682000,9.075000,32,0,0
1789336546.228057,86,27.926000,9.075000,32,0,0
1789336546.261849,88,33.793000,9.075000,32,0,0
1789336546.295813,90,33.964000,9.075000,32,0,0
1789336546.328308,92,32.495000,9.075000,32,0,0
1789336546.359860,94,31.552000,9.075000,32,0,0
1789336546.392605,96,32.746000,9.075000,32,0,0
1789336546.431374,98,38.767000,9.075000,32,0,0
1789336546.475318,100,43.944000,1.012000,32,0,0
1789336546.515447,102,40.131000,1.012000,32,0,0
1789336546.552546,105,37.100000,1.012000,32,0,0
1789336546.587079,107,34.533000,1.012000,32,0,0
1789336546.616000,109,28.921000,1.012000,32,0,0
1789336546.657626,111,41.627000,1.012000,32,0,0
1789336546.690618,113,32.992000,1.012000,32,0,0
1789336546.723772,115,33.155000,1.012000,32,0,0
1789336546.754853,117,31.080000,1.012000,32,0,0
1789336546.789600,119,34.746000,1.012000,32,0,0
1789336546.828700,121,39.102000,1.012000,32,0,0
1789336546.867518,123,38.816000,1.012000,32,0,0
1789336546.897468,125,29.952000,1.012000,32,0,0
1789336546.932027,127,34.558000,1.012000,32,0,0
1789336546.966185,130,34.157000,1.012000,32,0,0
1789336546.998413,132,32.229000,1.012000,32,0,0
1789336547.031373,134,32.963000,1.012000,32,0,0
1789336547.063534,136,32.158000,1.012000,32,0,0
1789336547.093505,138,29.975000,1.012000,32,0,0
1789336547.124920,140,31.415000,1.012000,32,0,0
1789336547.151210,141,26.289000,1.012000,32,0,0
1789336547.184307,143,33.098000,1.012000,32,0,0
1789336547.214387,145,30.079000,1.012000,32,0,0
1789336547.246483,147,32.097000,1.012000,32,0,0
1789336547.274472,149,27.991000,1.012000,32,0,0
1789336547.305043,151,30.570000,1.012000,32,0,0
1789336547.335750,153,30.706000,1.012000,32,0,0
1789336547.370865,155,35.114000,1.012000,32,0,0
1789336547.401126,156,30.264000,1.012000,32,0,0
1789336547.431716,158,30.589000,1.012000,32,0,0
1789336547.460245,160,28.530000,1.102000,32,0,0
1789336547.490098,162,29.853000,1.102000,32,0,0
1789336547.516742,163,26.645000,1.102000,32,0,0
1789336547.547305,165,30.563000,1.102000,32,0,0
1789336547.575081,167,27.776000,1.102000,32,0,0
1789336547.602828,169,27.748000,1.102000,32,0,0
1789336547.631281,170,28.452000,1.102000,32,0,0
1789336547.661244,172,29.963000,1.102000,32,0,0
1789336547.690020,174,28.774000,1.102000,32,0,0
1789336547.717153,175,27.134000,1.102000,32,0,0
1789336547.746649,177,29.499000,1.102000,32,0,0
1789336547.774792,179,28.143000,1.102000,32,0,0
1789336547.803194,181,28.402000,1.102000,32,0,0
1789336547.832941,182,29.747000,1.102000,32,0,0
1789336547.865489,184,32.547000,1.102000,32,0,0
1789336547.896895,186,31.407000,1.102000,32,0,0
1789336547.928060,188,31.164000,1.102000,32,0,0
1789336547.956655,189,28.597000,1.102000,32,0,0
1789336547.987062,191,30.408000,1.102000,32,0,0
1789336548.020033,193,32.970000,1.102000,32,0,0
1789336548.049228,195,29.195000,1.102000,32,0,0
1789336548.077466,196,28.239000,1.102000,32,0,0
1789336548.107172,198,29.703000,1.102000,32,0,0
1789336548.139674,200,32.503000,1.102000,32,0,0
1789336548.178541,202,38.867000,1.102000,32,0,0
1789336548.216733,204,38.193000,1.102000,32,0,0
1789336548.254080,207,37.346000,1.102000,32,0,0
1789336548.291999,209,37.924000,1.102000,32,0,0
1789336548.327793,211,35.794000,1.102000,32,0,0
1789336548.362443,213,34.649000,1.102000,32,0,0
1789336548.396720,215,34.278000,1.102000,32,0,0
1789336548.429286,217,32.566000,1.102000,32,0,0
1789336548.471600,220,42.313000,1.157000,32,0,0
1789336548.510616,222,39.018000,1.157000,32,0,0
1789336548.547205,224,36.587000,1.157000,32,0,0
1789336548.584575,226,37.373000,1.157000,32,0,0
1789336548.616514,229,31.939000,1.157000,32,0,0
1789336548.654888,231,38.372000,1.157000,32,0,0
1789336548.690907,233,36.022000,1.157000,32,0,0
1789336548.728377,236,37.470000,1.157000,32,0,0
1789336548.762048,238,33.671000,1.157000,32,0,0
1789336548.794397,240,32.350000,1.157000,32,0,0
1789336548.830697,242,36.300000,1.157000,32,0,0
1789336548.866899,244,36.203000,1.157000,32,0,0
1789336548.903852,246,36.952000,1.157000,32,0,0
1789336548.940114,248,36.262000,1.157000,32,0,0
1789336548.978275,251,38.162000,1.157000,32,0,0
1789336549.012688,253,34.413000,1.157000,32,0,0
1789336549.047688,255,35.001000,1.157000,32,0,0
