unix_seconds,tick,interval_ms,physics_ms,active,sleeping,capture_overlap
1789336479.459706,2,1.286000,0.000000,32,0,0
1789336479.583536,10,123.829000,0.000000,32,0,0
1789336479.645007,15,61.472000,0.000000,32,0,0
1789336479.674166,16,29.156000,0.000000,32,0,0
1789336479.701913,18,27.751000,0.000000,32,0,0
1789336479.730247,19,28.334000,0.000000,32,0,0
1789336479.759562,21,29.314000,0.000000,32,0,0
1789336479.786529,23,26.969000,0.000000,32,0,0
1789336479.817340,24,30.808000,0.000000,32,0,0
1789336479.847940,26,30.582000,0.000000,32,0,0
1789336479.876572,28,28.651000,0.000000,32,0,0
1789336479.906565,29,29.995000,0.000000,32,0,0
1789336479.939249,31,32.685000,0.000000,32,0,0
1789336479.970541,33,31.293000,0.000000,32,0,0
1789336480.001824,35,31.283000,0.000000,32,0,0
1789336480.031730,37,29.906000,0.000000,32,0,0
1789336480.065831,39,34.101000,8.864000,32,0,0
1789336480.098898,41,33.068000,8.864000,32,0,0
1789336480.131773,43,32.874000,8.864000,32,0,0
1789336480.163547,45,31.774000,8.864000,32,0,0
1789336480.196730,47,33.181000,8.864000,32,0,0
1789336480.230465,49,33.738000,8.864000,32,0,0
1789336480.262689,51,32.224000,8.864000,32,0,0
1789336480.297451,53,34.762000,8.864000,32,0,0
1789336480.329192,55,31.743000,8.864000,32,0,0
1789336480.360587,57,31.395000,8.864000,32,0,0
1789336480.393378,59,32.790000,8.864000,32,0,0
1789336480.428523,61,35.147000,8.864000,32,0,0
1789336480.464108,63,35.584000,8.864000,32,0,0
1789336480.487867,65,23.759000,8.864000,32,0,0
1789336480.519717,67,31.850000,8.864000,32,0,0
1789336480.550730,69,31.015000,8.864000,32,0,0
1789336480.578661,70,27.929000,8.864000,32,0,0
1789336480.608375,72,29.716000,8.864000,32,0,0
1789336480.636126,74,27.752000,8.864000,32,0,0
1789336480.664188,76,28.058000,8.864000,32,0,0
1789336480.696967,78,32.783000,8.864000,32,0,0
1789336480.727065,80,30.098000,8.864000,32,0,0
1789336480.759917,82,32.851000,8.864000,32,0,0
1789336480.793148,84,33.232000,8.864000,32,0,0
1789336480.826658,86,33.510000,8.864000,32,0,0
1789336480.860343,88,33.685000,8.864000,32,0,0
1789336480.894728,90,34.386000,8.864000,32,0,0
1789336480.924804,92,30.075000,8.864000,32,0,0
1789336480.956034,93,31.231000,8.864000,32,0,0
1789336480.988780,95,32.747000,8.864000,32,0,0
1789336481.019860,97,31.080000,8.864000,32,0,0
1789336481.054158,99,34.297000,8.864000,32,0,0
1789336481.087758,101,33.602000,0.658000,32,0,0
1789336481.119459,103,31.700000,0.658000,32,0,0
1789336481.151807,105,32.349000,0.658000,32,0,0
1789336481.183850,107,32.043000,0.658000,32,0,0
1789336481.207341,108,23.491000,0.658000,32,0,0
1789336481.235470,110,28.130000,0.658000,32,0,0
1789336481.264400,112,28.930000,0.658000,32,0,0
1789336481.288530,113,24.131000,0.658000,32,0,0
1789336481.320798,115,32.264000,0.658000,32,0,0
1789336481.352975,117,32.179000,0.658000,32,0,0
1789336481.383260,119,30.286000,0.658000,32,0,0
1789336481.412839,120,29.579000,0.658000,32,0,0
1789336481.444511,122,31.674000,0.658000,32,0,0
1789336481.472622,124,28.110000,0.658000,32,0,0
1789336481.500885,126,28.264000,0.658000,32,0,0
1789336481.528091,127,27.205000,0.658000,32,0,0
1789336481.559510,129,31.421000,0.658000,32,0,0
1789336481.592781,131,33.271000,0.658000,32,0,0
1789336481.622669,133,29.889000,0.658000,32,0,0
1789336481.653797,134,31.125000,0.658000,32,0,0
1789336481.687497,136,33.702000,0.658000,32,0,0
1789336481.716262,138,28.766000,0.658000,32,0,0
1789336481.748681,140,32.420000,0.658000,32,1,0
1789336481.778695,142,30.013000,0.658000,32,1,0
1789336481.810361,144,31.666000,0.658000,32,1,0
1789336481.838331,145,27.970000,0.658000,32,1,0
1789336481.860090,147,21.761000,0.658000,32,2,0
1789336481.885004,149,24.912000,0.658000,32,2,0
1789336481.906147,150,21.144000,0.658000,32,2,0
1789336481.926660,152,20.514000,0.658000,32,2,0
1789336481.949500,153,22.839000,0.658000,32,2,0
1789336481.972854,154,23.354000,0.658000,32,2,0
1789336481.995959,156,23.106000,0.658000,32,2,0
1789336482.018889,157,22.930000,0.658000,32,2,0
1789336482.042966,159,24.032000,0.658000,32,3,0
1789336482.070233,160,27.311000,0.718000,32,3,0
1789336482.097670,162,27.438000,0.718000,32,3,0
1789336482.125602,163,27.929000,0.718000,32,3,0
1789336482.151896,165,26.296000,0.718000,32,3,0
1789336482.177877,166,25.979000,0.718000,32,3,0
1789336482.205995,168,28.122000,0.718000,32,3,0
1789336482.231091,169,25.092000,0.718000,32,3,0
1789336482.257791,171,26.704000,0.718000,32,3,0
1789336482.282493,172,24.701000,0.718000,32,5,0
1789336482.309842,174,27.351000,0.718000,32,5,0
1789336482.338250,175,28.408000,0.718000,32,6,0
1789336482.367179,177,28.928000,0.718000,32,6,0
1789336482.393511,179,26.333000,0.718000,32,7,0
1789336482.421548,180,28.035000,0.718000,32,8,0
1789336482.449062,182,27.512000,0.718000,32,8,0
1789336482.476655,184,27.597000,0.718000,32,9,0
1789336482.503278,185,26.625000,0.718000,32,9,0
1789336482.530714,187,27.435000,0.718000,32,9,0
1789336482.559279,189,28.567000,0.718000,32,9,0
1789336482.588633,190,29.353000,0.718000,32,9,0
1789336482.616912,192,28.281000,0.718000,32,9,0
1789336482.641314,194,24.402000,0.718000,32,9,0
1789336482.666042,195,24.727000,0.718000,32,9,0
1789336482.692150,197,26.109000,0.718000,32,9,0
1789336482.717579,199,25.428000,0.718000,32,11,0
1789336482.747163,200,29.579000,0.718000,32,12,0
1789336482.772254,202,25.093000,0.718000,32,12,0
1789336482.798676,203,26.426000,0.718000,32,12,0
1789336482.822875,205,24.199000,0.718000,32,16,0
1789336482.848257,207,25.382000,0.718000,32,16,0
1789336482.870647,208,22.390000,0.718000,32,16,0
1789336482.894226,210,23.576000,0.718000,32,17,0
1789336482.920624,211,26.400000,0.718000,32,18,0
1789336482.946078,213,25.455000,0.718000,32,19,0
1789336482.968368,214,22.290000,0.718000,32,20,0
1789336482.990732,215,22.365000,0.718000,32,20,0
1789336483.012401,217,21.671000,0.718000,32,21,0
1789336483.035048,218,22.645000,0.718000,32,21,0
1789336483.057294,219,22.239000,0.750000,32,21,0
1789336483.081717,221,24.432000,0.750000,32,21,0
1789336483.106512,222,24.793000,0.750000,32,22,0
1789336483.132324,224,25.814000,0.750000,32,22,0
1789336483.153696,225,21.371000,0.750000,32,22,0
1789336483.179806,226,26.111000,0.750000,32,22,0
1789336483.205906,228,26.100000,0.750000,32,23,0
1789336483.232343,229,26.437000,0.750000,32,23,0
1789336483.255397,231,23.054000,0.750000,32,23,0
1789336483.281012,232,25.611000,0.750000,32,24,0
1789336483.308516,234,27.506000,0.750000,32,25,0
1789336483.335160,235,26.645000,0.750000,32,25,0
1789336483.365404,237,30.244000,0.750000,32,25,0
1789336483.389158,238,23.756000,0.750000,32,26,0
1789336483.413838,240,24.681000,0.750000,32,27,0
1789336483.441808,242,27.967000,0.750000,32,27,0
1789336483.469051,243,27.245000,0.750000,32,27,0
1789336483.497854,245,28.804000,0.750000,32,27,0
1789336483.524963,247,27.105000,0.750000,32,27,0
1789336483.553102,248,28.142000,0.750000,32,28,0
1789336483.579783,250,26.683000,0.750000,32,28,0
1789336483.607123,251,27.340000,0.750000,32,28,0
1789336483.633681,253,26.558000,0.750000,32,28,0
1789336483.663377,255,29.696000,0.750000,32,28,0
1789336483.689889,256,26.513000,0.750000,32,28,0
1789336483.716183,258,26.294000,0.750000,32,29,0
1789336483.741548,260,25.365000,0.750000,32,29,0
1789336483.764073,261,22.522000,0.750000,32,29,0
1789336483.791082,263,27.010000,0.750000,32,30,0
1789336483.818215,264,27.131000,0.750000,32,31,0
1789336483.846123,266,27.912000,0.750000,32,31,0
1789336483.870787,268,24.664000,0.750000,32,31,0
1789336483.900485,269,29.697000,0.750000,32,31,0
1789336483.930775,271,30.290000,0.750000,32,31,0
1789336483.960257,273,29.485000,0.750000,32,31,0
1789336483.990574,274,30.313000,0.750000,32,31,0
1789336484.019274,276,28.704000,0.750000,32,31,0
1789336484.044109,278,24.835000,0.750000,32,31,0
1789336484.070578,279,26.469000,0.569000,32,31,0
1789336484.099020,281,28.443000,0.569000,32,31,0
1789336484.126294,283,27.267000,0.569000,32,31,0
1789336484.153090,284,26.803000,0.569000,32,31,0
1789336484.181433,286,28.342000,0.569000,32,31,0
1789336484.210066,288,28.634000,0.569000,32,31,0
1789336484.235377,289,25.311000,0.569000,32,31,0
1789336484.258487,291,23.108000,0.569000,32,31,0
1789336484.280745,292,22.261000,0.569000,32,31,0
1789336484.304749,294,24.005000,0.569000,32,31,0
1789336484.328703,296,23.954000,0.569000,32,32,0
1789336484.350801,297,22.098000,0.569000,32,32,0
1789336484.374431,299,23.625000,0.569000,32,32,0
1789336484.397690,300,23.263000,0.569000,32,32,0
1789336484.419574,301,21.881000,0.569000,32,32,0
1789336484.443435,303,23.861000,0.569000,32,32,0
1789336484.467989,304,24.556000,0.569000,32,32,0
1789336484.491147,306,23.159000,0.569000,32,32,0
1789336484.513914,307,22.763000,0.569000,32,32,0
1789336484.534864,308,20.954000,0.569000,32,32,0
1789336484.558265,310,23.404000,0.569000,32,32,0
1789336484.579723,311,21.454000,0.569000,32,32,0
1789336484.601088,312,21.368000,0.569000,32,32,0
1789336484.620994,313,19.907000,0.569000,32,32,0
1789336484.643921,315,22.928000,0.569000,32,32,0
1789336484.664068,316,20.146000,0.569000,32,32,0
1789336484.686905,317,22.837000,0.569000,32,32,0
1789336484.707745,319,20.837000,0.569000,32,32,0
1789336484.728025,320,20.282000,0.569000,32,32,0
1789336484.748272,321,20.246000,0.569000,32,32,0
1789336484.769739,322,21.467000,0.569000,32,32,0
1789336484.792303,324,22.567000,0.569000,32,32,0
1789336484.816963,325,24.659000,0.569000,32,32,0
1789336484.841082,326,24.120000,0.569000,32,32,0
1789336484.866110,328,25.028000,0.569000,32,32,0
1789336484.893134,329,27.023000,0.569000,32,32,0
1789336484.922992,330,29.860000,0.569000,32,32,0
1789336484.949942,332,26.940000,0.569000,32,32,0
1789336484.977902,334,27.968000,0.569000,32,32,0
1789336485.006020,335,28.119000,0.569000,32,32,0
1789336485.035423,337,29.403000,0.569000,32,32,0
1789336485.061475,339,26.052000,0.480000,32,32,0
1789336485.088492,340,27.018000,0.480000,32,32,0
1789336485.116411,342,27.921000,0.480000,32,32,0
1789336485.143534,344,27.124000,0.480000,32,32,0
1789336485.169113,345,25.579000,0.480000,32,32,0
1789336485.195300,347,26.188000,0.480000,32,32,0
1789336485.222662,348,27.359000,0.480000,32,32,0
1789336485.249349,350,26.689000,0.480000,32,32,0
1789336485.277628,352,28.279000,0.480000,32,32,0
1789336485.305494,353,27.865000,0.480000,32,32,0
1789336485.330546,355,25.054000,0.480000,32,32,0
1789336485.355873,357,25.327000,0.480000,32,32,0
1789336485.382566,358,26.691000,0.480000,32,32,0
1789336485.407832,360,25.268000,0.480000,32,32,0
1789336485.432175,361,24.344000,0.480000,32,32,0
1789336485.459467,363,27.292000,0.480000,32,32,0
1789336485.487194,365,27.724000,0.480000,32,32,0
1789336485.516223,366,29.030000,0.480000,32,32,0
1789336485.542153,368,25.932000,0.480000,32,32,0
1789336485.571983,370,29.826000,0.480000,32,32,0
1789336485.598593,371,26.615000,0.480000,32,32,0
1789336485.623132,373,24.536000,0.480000,32,32,0
1789336485.649938,375,26.797000,0.480000,32,32,0
1789336485.676026,376,26.100000,0.480000,32,32,0
1789336485.707397,378,31.371000,0.480000,32,32,0
1789336485.733516,379,26.119000,0.480000,32,32,0
1789336485.758131,381,24.615000,0.480000,32,32,0
1789336485.785578,383,27.449000,0.480000,32,32,0
1789336485.813414,384,27.830000,0.480000,32,32,0
1789336485.840614,386,27.205000,0.480000,32,32,0
1789336485.868738,388,28.125000,0.480000,32,32,0
1789336485.896720,389,27.982000,0.480000,32,32,0
1789336485.926685,391,29.966000,0.480000,32,32,0
1789336485.955972,393,29.286000,0.480000,32,32,0
1789336485.984430,394,28.458000,0.480000,32,32,0
1789336486.012078,396,27.649000,0.480000,32,32,0
1789336486.040964,398,28.884000,0.480000,32,32,0
1789336486.063637,399,22.675000,0.576000,32,32,0
1789336486.089036,401,25.399000,0.576000,32,32,0
1789336486.114988,402,25.952000,0.576000,32,32,0
1789336486.139136,404,24.149000,0.576000,32,32,0
1789336486.160119,406,20.983000,0.576000,32,32,0
1789336486.180760,407,20.642000,0.576000,32,32,0
1789336486.201828,408,21.066000,0.576000,32,32,0
1789336486.224707,410,22.881000,0.576000,32,32,0
1789336486.249604,411,24.897000,0.576000,32,32,0
1789336486.273570,412,23.965000,0.576000,32,32,0
1789336486.304964,414,31.391000,0.576000,32,32,0
1789336486.337179,415,32.218000,0.576000,32,32,0
1789336486.365972,417,28.795000,0.576000,32,32,0
1789336486.389103,418,23.131000,0.576000,32,32,0
1789336486.415408,420,26.304000,0.576000,32,32,0
1789336486.438974,421,23.566000,0.576000,32,32,0
1789336486.462475,423,23.503000,0.576000,32,32,0
1789336486.487140,424,24.665000,0.576000,32,32,0
1789336486.513180,426,26.040000,0.576000,32,32,0
1789336486.539633,427,26.453000,0.576000,32,32,0
1789336486.566072,429,26.436000,0.576000,32,32,0
1789336486.591487,431,25.418000,0.576000,32,32,0
1789336486.615200,432,23.714000,0.576000,32,32,0
1789336486.640199,434,25.000000,0.576000,32,32,0
1789336486.662966,435,22.766000,0.576000,32,32,0
1789336486.692488,437,29.522000,0.576000,32,32,0
1789336486.718679,438,26.191000,0.576000,32,32,0
1789336486.743438,440,24.760000,0.576000,32,32,0
1789336486.768282,441,24.843000,0.576000,32,32,0
