unix_seconds,tick,interval_ms,physics_ms,active,sleeping,capture_overlap
1789336326.081683,2,1.790000,0.000000,32,0,0
1789336326.206828,10,125.147000,0.000000,32,0,0
1789336326.260550,14,53.722000,0.000000,32,0,0
1789336326.291448,16,30.897000,0.000000,32,0,0
1789336326.324434,18,32.988000,0.000000,32,0,0
1789336326.356357,20,31.922000,0.000000,32,0,0
1789336326.387158,22,30.802000,0.000000,32,0,0
1789336326.415352,24,28.194000,0.000000,32,0,0
1789336326.445398,25,30.045000,0.000000,32,0,0
1789336326.477231,27,31.834000,0.000000,32,0,0
1789336326.505509,29,28.276000,0.000000,32,0,0
1789336326.535722,31,30.215000,0.000000,32,0,0
1789336326.567509,33,31.788000,0.000000,32,0,0
1789336326.598315,35,30.806000,0.000000,32,0,0
1789336326.633222,37,34.908000,0.000000,32,0,0
1789336326.661780,38,28.558000,0.000000,32,0,0
1789336326.694976,40,33.197000,8.936000,32,0,0
1789336326.729235,42,34.256000,8.936000,32,0,0
1789336326.761964,44,32.732000,8.936000,32,0,0
1789336326.792463,46,30.499000,8.936000,32,0,0
1789336326.823971,48,31.508000,8.936000,32,0,0
1789336326.860045,50,36.073000,8.936000,32,0,0
1789336326.894605,52,34.559000,8.936000,32,0,0
1789336326.931964,54,37.362000,8.936000,32,0,0
1789336326.966893,56,34.927000,8.936000,32,0,0
1789336326.999226,58,32.335000,8.936000,32,0,0
1789336327.034716,60,35.491000,8.936000,32,0,0
1789336327.071012,62,36.297000,8.936000,32,0,0
1789336327.111079,64,40.064000,8.936000,32,0,0
1789336327.141481,66,30.405000,8.936000,32,0,0
1789336327.172468,68,30.988000,8.936000,32,0,0
1789336327.206222,70,33.753000,8.936000,32,0,0
1789336327.240893,72,34.671000,8.936000,32,0,0
1789336327.273374,74,32.482000,8.936000,32,0,0
1789336327.306093,76,32.719000,8.936000,32,0,0
1789336327.339460,78,33.367000,8.936000,32,0,0
1789336327.369392,80,29.930000,8.936000,32,0,0
1789336327.407594,82,38.202000,8.936000,32,0,0
1789336327.446914,84,39.323000,8.936000,32,0,0
1789336327.486981,87,40.066000,8.936000,32,0,0
1789336327.520804,89,33.822000,8.936000,32,0,0
1789336327.552390,91,31.588000,8.936000,32,0,0
1789336327.590905,93,38.516000,8.936000,32,0,0
1789336327.630457,95,39.551000,8.936000,32,0,0
1789336327.663181,97,32.726000,8.936000,32,0,0
1789336327.700499,100,37.319000,1.161000,32,0,0
1789336327.736988,102,36.489000,1.161000,32,0,0
1789336327.774358,104,37.370000,1.161000,32,0,0
1789336327.811215,106,36.856000,1.161000,32,0,0
1789336327.849703,109,38.490000,1.161000,32,0,0
1789336327.887308,111,37.605000,1.161000,32,0,0
1789336327.923495,113,36.188000,1.161000,32,0,0
1789336327.959266,115,35.770000,1.161000,32,0,0
1789336327.996167,117,36.895000,1.161000,32,0,0
1789336328.036014,120,39.854000,1.161000,32,0,0
1789336328.070683,122,34.669000,1.161000,32,0,0
1789336328.100095,124,29.412000,1.161000,32,0,0
1789336328.131973,126,31.879000,1.161000,32,0,0
1789336328.161216,128,29.243000,1.161000,32,0,0
1789336328.194595,130,33.378000,1.161000,32,0,0
1789336328.229867,132,35.275000,1.161000,32,0,0
1789336328.259677,134,29.809000,1.161000,32,0,0
1789336328.298644,137,38.964000,1.161000,32,0,0
1789336328.329479,138,30.837000,1.161000,32,0,0
1789336328.368676,140,39.199000,1.161000,32,1,0
1789336328.402504,142,33.824000,1.161000,32,1,0
1789336328.428715,144,26.215000,1.161000,32,1,0
1789336328.461283,146,32.557000,1.161000,32,2,0
1789336328.493567,148,32.294000,1.161000,32,2,0
1789336328.526860,150,33.295000,1.161000,32,2,0
1789336328.557864,152,31.004000,1.161000,32,2,0
1789336328.592613,154,34.747000,1.161000,32,2,0
1789336328.626191,156,33.578000,1.161000,32,2,0
1789336328.655463,158,29.276000,1.161000,32,3,0
1789336328.683294,159,27.830000,1.119000,32,3,0
1789336328.713647,161,30.352000,1.119000,32,3,0
1789336328.750240,163,36.592000,1.119000,32,3,0
1789336328.778366,165,28.129000,1.119000,32,3,0
1789336328.809672,167,31.307000,1.119000,32,3,0
1789336328.841813,169,32.141000,1.119000,32,3,0
1789336328.873094,171,31.282000,1.119000,32,3,0
1789336328.902805,173,29.711000,1.119000,32,5,0
1789336328.929434,174,26.628000,1.119000,32,5,0
1789336328.955419,176,25.985000,1.119000,32,6,0
1789336328.984612,178,29.195000,1.119000,32,7,0
1789336329.012019,179,27.404000,1.119000,32,7,0
1789336329.041085,181,29.068000,1.119000,32,8,0
1789336329.067358,183,26.273000,1.119000,32,9,0
1789336329.098060,185,30.702000,1.119000,32,9,0
1789336329.124986,186,26.924000,1.119000,32,9,0
1789336329.153339,188,28.357000,1.119000,32,9,0
1789336329.183713,190,30.373000,1.119000,32,9,0
1789336329.211893,191,28.180000,1.119000,32,9,0
1789336329.244399,193,32.504000,1.119000,32,9,0
1789336329.277337,195,32.938000,1.119000,32,9,0
1789336329.310122,197,32.785000,1.119000,32,9,0
1789336329.340753,198,30.632000,1.119000,32,9,0
1789336329.373681,200,32.927000,1.119000,32,12,0
1789336329.405164,202,31.487000,1.119000,32,12,0
1789336329.434864,204,29.701000,1.119000,32,14,0
1789336329.465240,206,30.376000,1.119000,32,16,0
1789336329.499301,208,34.058000,1.119000,32,16,0
1789336329.528247,209,28.947000,1.119000,32,17,0
1789336329.558275,211,30.028000,1.119000,32,18,0
1789336329.587762,213,29.489000,1.119000,32,19,0
1789336329.617719,215,29.956000,1.119000,32,20,0
1789336329.644567,217,26.851000,1.119000,32,21,0
1789336329.667643,218,23.076000,1.275000,32,21,0
1789336329.693632,220,25.990000,1.275000,32,21,0
1789336329.715321,222,21.689000,1.275000,32,22,0
1789336329.745836,223,30.514000,1.275000,32,22,0
1789336329.774222,225,28.386000,1.275000,32,22,0
1789336329.800728,227,26.507000,1.275000,32,23,0
1789336329.825198,228,24.469000,1.275000,32,23,0
1789336329.851330,230,26.134000,1.275000,32,23,0
1789336329.876976,231,25.645000,1.275000,32,23,0
1789336329.903252,233,26.276000,1.275000,32,24,0
1789336329.932956,235,29.705000,1.275000,32,25,0
1789336329.957961,236,25.005000,1.275000,32,25,0
1789336329.985858,238,27.898000,1.275000,32,26,0
1789336330.014710,240,28.853000,1.275000,32,27,0
1789336330.039633,241,24.919000,1.275000,32,27,0
1789336330.065439,243,25.809000,1.275000,32,27,0
1789336330.091200,244,25.759000,1.275000,32,27,0
1789336330.122240,246,31.039000,1.275000,32,27,0
1789336330.154057,248,31.818000,1.275000,32,28,0
1789336330.181876,249,27.821000,1.275000,32,28,0
1789336330.209264,251,27.389000,1.275000,32,28,0
1789336330.239647,253,30.382000,1.275000,32,28,0
1789336330.264672,254,25.025000,1.275000,32,28,0
1789336330.294218,256,29.548000,1.275000,32,28,0
1789336330.323983,258,29.762000,1.275000,32,29,0
1789336330.352157,259,28.162000,1.275000,32,29,0
1789336330.383751,261,31.607000,1.275000,32,29,0
1789336330.413563,263,29.815000,1.275000,32,30,0
1789336330.442118,264,28.554000,1.275000,32,31,0
1789336330.470387,266,28.270000,1.275000,32,31,0
1789336330.502392,268,32.005000,1.275000,32,31,0
1789336330.533603,270,31.209000,1.275000,32,31,0
1789336330.560096,271,26.492000,1.275000,32,31,0
1789336330.586923,273,26.831000,1.275000,32,31,0
1789336330.614419,275,27.497000,1.275000,32,31,0
1789336330.644989,276,30.569000,1.275000,32,31,0
1789336330.676791,278,31.800000,1.008000,32,31,0
1789336330.704680,280,27.891000,1.008000,32,31,0
1789336330.732443,282,27.762000,1.008000,32,31,0
1789336330.763692,284,31.249000,1.008000,32,31,0
1789336330.791727,285,28.034000,1.008000,32,31,0
1789336330.818939,287,27.203000,1.008000,32,31,0
1789336330.845369,289,26.443000,1.008000,32,31,0
1789336330.872111,291,26.743000,1.008000,32,31,0
1789336330.895502,292,23.391000,1.008000,32,31,0
1789336330.922536,294,27.034000,1.008000,32,31,0
1789336330.952179,296,29.643000,1.008000,32,32,0
1789336330.977318,297,25.139000,1.008000,32,32,0
1789336331.004168,299,26.851000,1.008000,32,32,0
1789336331.034391,301,30.223000,1.008000,32,32,0
1789336331.060409,302,26.018000,1.008000,32,32,0
1789336331.087378,304,26.967000,1.008000,32,32,0
1789336331.119608,306,32.233000,1.008000,32,32,0
1789336331.149885,308,30.274000,1.008000,32,32,0
1789336331.179685,309,29.801000,1.008000,32,32,0
1789336331.205672,311,25.987000,1.008000,32,32,0
1789336331.229104,312,23.433000,1.008000,32,32,0
1789336331.256561,314,27.460000,1.008000,32,32,0
1789336331.284495,316,27.933000,1.008000,32,32,0
1789336331.309071,317,24.573000,1.008000,32,32,0
1789336331.335630,319,26.559000,1.008000,32,32,0
1789336331.365612,321,29.985000,1.008000,32,32,0
1789336331.392641,322,27.029000,1.008000,32,32,0
1789336331.416504,324,23.864000,1.008000,32,32,0
1789336331.443317,325,26.813000,1.008000,32,32,0
1789336331.470674,327,27.357000,1.008000,32,32,0
1789336331.500367,329,29.690000,1.008000,32,32,0
1789336331.524115,330,23.749000,1.008000,32,32,0
1789336331.547283,332,23.172000,1.008000,32,32,0
1789336331.571138,333,23.853000,1.008000,32,32,0
1789336331.593213,334,22.073000,1.008000,32,32,0
1789336331.618717,336,25.507000,1.008000,32,32,0
1789336331.641862,337,23.146000,1.008000,32,32,0
1789336331.672522,339,30.660000,1.008000,32,32,0
1789336331.697370,340,24.846000,0.970000,32,32,0
1789336331.722406,342,25.039000,0.970000,32,32,0
1789336331.746380,343,23.973000,0.970000,32,32,0
1789336331.779665,345,33.284000,0.970000,32,32,0
1789336331.803816,346,24.153000,0.970000,32,32,0
1789336331.827384,348,23.569000,0.970000,32,32,0
1789336331.848527,349,21.142000,0.970000,32,32,0
1789336331.871629,351,23.103000,0.970000,32,32,0
1789336331.894595,352,22.965000,0.970000,32,32,0
1789336331.919815,353,25.217000,0.970000,32,32,0
1789336331.944978,355,25.168000,0.970000,32,32,0
1789336331.972632,356,27.653000,0.970000,32,32,0
1789336331.997807,358,25.176000,0.970000,32,32,0
1789336332.025724,359,27.915000,0.970000,32,32,0
1789336332.054408,361,28.686000,0.970000,32,32,0
1789336332.082576,363,28.169000,0.970000,32,32,0
1789336332.111428,364,28.847000,0.970000,32,32,0
1789336332.144046,366,32.621000,0.970000,32,32,0
1789336332.170416,368,26.373000,0.970000,32,32,0
1789336332.198799,370,28.383000,0.970000,32,32,0
1789336332.231116,372,32.316000,0.970000,32,32,0
1789336332.260548,373,29.432000,0.970000,32,32,0
1789336332.288544,375,27.996000,0.970000,32,32,0
1789336332.316035,377,27.493000,0.970000,32,32,0
1789336332.339193,379,23.157000,0.970000,32,32,0
1789336332.363559,380,24.366000,0.970000,32,32,0
1789336332.387832,382,24.275000,0.970000,32,32,0
1789336332.420125,384,32.293000,0.970000,32,32,0
1789336332.442317,385,22.191000,0.970000,32,32,0
1789336332.471061,387,28.743000,0.970000,32,32,0
1789336332.497479,389,26.421000,0.970000,32,32,0
1789336332.523033,390,25.553000,0.970000,32,32,0
1789336332.545382,391,22.348000,0.970000,32,32,0
1789336332.571784,393,26.404000,0.970000,32,32,0
1789336332.598952,394,27.165000,0.970000,32,32,0
1789336332.625662,396,26.711000,0.970000,32,32,0
1789336332.651565,397,25.904000,0.970000,32,32,0
1789336332.678269,399,26.703000,3.277000,32,32,0
1789336332.707510,400,29.243000,3.277000,32,32,0
1789336332.732941,402,25.416000,3.277000,32,32,0
1789336332.758852,403,25.924000,3.277000,32,32,0
1789336332.789910,405,31.061000,3.277000,32,32,0
1789336332.820853,407,30.940000,3.277000,32,32,0
1789336332.849473,409,28.624000,3.277000,32,32,0
1789336332.875423,410,25.950000,3.277000,32,32,0
1789336332.901290,412,25.866000,3.277000,32,32,0
1789336332.925757,414,24.469000,3.277000,32,32,0
1789336332.951711,415,25.954000,3.277000,32,32,0
1789336332.977655,417,25.945000,3.277000,32,32,0
1789336333.001637,419,23.981000,3.277000,32,32,0
1789336333.026674,420,25.037000,3.277000,32,32,0
1789336333.055697,422,29.024000,3.277000,32,32,0
1789336333.080751,424,25.053000,3.277000,32,32,0
1789336333.106833,425,26.080000,3.277000,32,32,0
1789336333.137780,427,30.951000,3.277000,32,32,0
1789336333.166107,429,28.327000,3.277000,32,32,0
1789336333.196200,430,30.091000,3.277000,32,32,0
1789336333.227155,432,30.946000,3.277000,32,32,0
1789336333.260320,434,33.177000,3.277000,32,32,0
1789336333.291294,436,30.973000,3.277000,32,32,0
1789336333.316419,437,25.125000,3.277000,32,32,0
1789336333.347780,439,31.363000,3.277000,32,32,0
1789336333.375848,441,28.068000,3.277000,32,32,0
1789336333.400697,442,24.848000,3.277000,32,32,0
1789336333.426908,444,26.212000,3.277000,32,32,0
1789336333.453701,446,26.793000,3.277000,32,32,0
1789336333.479982,447,26.282000,3.277000,32,32,0
1789336333.505703,449,25.720000,3.277000,32,32,0
1789336333.534571,451,28.867000,3.277000,32,32,0
1789336333.559020,452,24.449000,3.277000,32,32,0
1789336333.585013,454,25.995000,3.277000,32,32,0
1789336333.610513,455,25.500000,3.277000,32,32,0
1789336333.632955,457,22.444000,3.277000,32,32,0
1789336333.656771,458,23.813000,3.277000,32,32,0
1789336333.681464,460,24.696000,0.920000,32,32,0
1789336333.706593,461,25.127000,0.920000,32,32,0
1789336333.732649,463,26.057000,0.920000,32,32,0
1789336333.760414,464,27.765000,0.920000,32,32,0
1789336333.790914,466,30.502000,0.920000,32,32,0
1789336333.817343,468,26.426000,0.920000,32,32,0
1789336333.841452,469,24.110000,0.920000,32,32,0
1789336333.867220,471,25.770000,0.920000,32,32,0
1789336333.896848,472,29.624000,0.920000,32,32,0
1789336333.923922,474,27.077000,0.920000,32,32,0
1789336333.953023,475,29.101000,0.920000,32,32,0
1789336333.980841,477,27.820000,0.920000,32,32,0
1789336334.005314,478,24.473000,0.920000,32,32,0
1789336334.030838,480,25.520000,0.920000,32,32,0
1789336334.055975,482,25.145000,0.920000,0,0,0
1789336334.079399,483,23.424000,0.920000,0,0,0
1789336334.102829,485,23.430000,0.920000,0,0,0
1789336334.131995,486,29.166000,0.920000,0,0,0
1789336334.160864,488,28.869000,0.920000,0,0,0
1789336334.188206,489,27.343000,0.920000,0,0,0
1789336334.217964,491,29.758000,0.920000,0,0,0
1789336334.244707,492,26.743000,0.920000,0,0,0
1789336334.269664,494,24.957000,0.920000,0,0,0
1789336334.294230,496,24.567000,0.920000,0,0,0
1789336334.321657,497,27.428000,0.920000,0,0,0
1789336334.346591,499,24.934000,0.920000,0,0,0
1789336334.371812,500,25.220000,0.920000,0,0,0
1789336334.400990,502,29.179000,0.920000,0,0,0
1789336334.429098,504,28.108000,0.920000,0,0,0
1789336334.457754,505,28.656000,0.920000,0,0,0
1789336334.482171,507,24.418000,0.920000,0,0,0
1789336334.507960,508,25.788000,0.920000,0,0,0
1789336334.540594,510,32.614000,0.920000,192,0,0
1789336334.581310,512,40.715000,0.920000,192,0,0
1789336334.625050,515,43.743000,0.920000,192,0,0
1789336334.657546,517,32.497000,0.920000,192,0,0
1789336334.690644,519,33.089000,5.873000,192,0,0
1789336334.726444,521,35.808000,5.873000,192,0,0
1789336334.762820,523,36.376000,5.873000,192,0,0
1789336334.797223,525,34.403000,5.873000,192,0,0
1789336334.832497,527,35.274000,5.873000,192,0,0
1789336334.872956,530,40.446000,5.873000,192,0,0
1789336334.909143,532,36.202000,5.873000,192,0,0
1789336334.945811,534,36.668000,5.873000,192,0,0
1789336334.977759,536,31.948000,5.873000,192,0,0
1789336335.011868,538,34.101000,5.873000,192,0,0
1789336335.047575,541,35.706000,5.873000,192,0,0
1789336335.084883,543,37.319000,5.873000,192,0,0
1789336335.122368,545,37.484000,5.873000,192,0,0
1789336335.164940,548,42.561000,5.873000,192,0,0
1789336335.201184,550,36.256000,5.873000,192,0,0
1789336335.242472,552,41.289000,5.873000,192,0,0
1789336335.277423,554,34.951000,5.873000,192,0,0
1789336335.315444,556,38.023000,5.873000,192,0,0
1789336335.355452,559,40.007000,5.873000,192,0,0
1789336335.390885,561,35.433000,5.873000,192,0,0
