unix_seconds,tick,interval_ms,physics_ms,active,sleeping,capture_overlap
1789336360.982691,2,1.899000,0.000000,32,0,0
1789336361.110313,10,127.622000,0.000000,32,0,0
1789336361.165395,15,55.084000,0.000000,32,0,0
1789336361.194383,16,28.980000,0.000000,32,0,0
1789336361.224561,18,30.187000,0.000000,32,0,0
1789336361.258351,20,33.790000,0.000000,32,0,0
1789336361.290301,22,31.950000,0.000000,32,0,0
1789336361.322169,24,31.868000,0.000000,32,0,0
1789336361.355958,26,33.790000,0.000000,32,0,0
1789336361.394481,28,38.524000,0.000000,32,0,0
1789336361.425366,30,30.884000,0.000000,32,0,0
1789336361.463755,32,38.391000,0.000000,32,0,0
1789336361.497677,34,33.919000,0.000000,32,0,0
1789336361.537253,36,39.575000,0.000000,32,0,0
1789336361.573382,38,36.132000,9.092000,32,0,0
1789336361.609496,40,36.115000,9.092000,32,0,0
1789336361.637215,42,27.719000,9.092000,32,0,0
1789336361.666338,44,29.121000,9.092000,32,0,0
1789336361.701073,46,34.737000,9.092000,32,0,0
1789336361.730148,48,29.075000,9.092000,32,0,0
1789336361.768445,50,38.298000,9.092000,32,0,0
1789336361.808920,52,40.476000,9.092000,32,0,0
1789336361.842363,54,33.443000,9.092000,32,0,0
1789336361.884315,57,41.949000,9.092000,32,0,0
1789336361.923764,59,39.452000,9.092000,32,0,0
1789336361.960760,61,36.998000,9.092000,32,0,0
1789336361.999875,64,39.114000,9.092000,32,0,0
1789336362.040348,66,40.472000,9.092000,32,0,0
1789336362.075813,68,35.467000,9.092000,32,0,0
1789336362.111890,70,36.075000,9.092000,32,0,0
1789336362.150481,73,38.594000,9.092000,32,0,0
1789336362.189609,75,39.128000,9.092000,32,0,0
1789336362.228088,77,38.479000,9.092000,32,0,0
1789336362.258306,80,30.216000,9.092000,32,0,0
1789336362.300540,83,42.237000,9.092000,32,0,0
1789336362.340366,85,39.826000,9.092000,32,0,0
1789336362.377220,87,36.855000,9.092000,32,0,0
1789336362.417740,89,40.520000,9.092000,32,0,0
1789336362.458019,92,40.279000,9.092000,32,0,0
1789336362.489620,94,31.602000,9.092000,32,0,0
1789336362.524620,96,34.996000,9.092000,32,0,0
1789336362.560297,98,35.678000,1.149000,32,0,0
1789336362.597429,101,37.134000,1.149000,32,0,0
1789336362.635734,103,38.307000,1.149000,32,0,0
1789336362.663048,105,27.314000,1.149000,32,0,0
1789336362.694792,106,31.743000,1.149000,32,0,0
1789336362.724266,108,29.476000,1.149000,32,0,0
1789336362.756568,110,32.301000,1.149000,32,0,0
1789336362.781995,112,25.427000,1.149000,32,0,0
1789336362.811429,113,29.435000,1.149000,32,0,0
1789336362.845080,115,33.651000,1.149000,32,0,0
1789336362.882796,117,37.716000,1.149000,32,0,0
1789336362.916553,119,33.758000,1.149000,32,0,0
1789336362.953022,121,36.467000,1.149000,32,0,0
1789336362.985633,123,32.613000,1.149000,32,0,0
1789336363.016392,125,30.760000,1.149000,32,0,0
1789336363.043012,126,26.619000,1.149000,32,0,0
1789336363.072342,128,29.329000,1.149000,32,0,0
1789336363.104102,130,31.762000,1.149000,32,0,0
1789336363.130806,132,26.705000,1.149000,32,0,0
1789336363.159056,134,28.250000,1.149000,32,0,0
1789336363.190210,136,31.152000,1.149000,32,0,0
1789336363.221150,138,30.943000,1.149000,32,0,0
1789336363.250082,139,28.930000,1.149000,32,0,0
1789336363.281336,141,31.255000,1.149000,32,1,0
1789336363.315347,143,34.004000,1.149000,32,1,0
1789336363.350580,145,35.242000,1.149000,32,1,0
1789336363.382705,147,32.124000,1.149000,32,1,0
1789336363.416404,149,33.700000,1.149000,32,1,0
1789336363.442821,151,26.416000,1.149000,32,1,0
1789336363.468367,152,25.547000,1.149000,32,1,0
1789336363.496514,154,28.148000,1.149000,32,1,0
1789336363.527582,156,31.068000,1.149000,32,1,0
1789336363.557152,158,29.569000,1.166000,32,2,0
1789336363.582479,160,25.328000,1.166000,32,2,0
1789336363.609729,161,27.251000,1.166000,32,3,0
1789336363.636629,163,26.899000,1.166000,32,3,0
1789336363.665502,165,28.870000,1.166000,32,4,0
1789336363.690820,166,25.319000,1.166000,32,4,0
1789336363.719793,168,28.977000,1.166000,32,4,0
1789336363.750246,170,30.452000,1.166000,32,5,0
1789336363.781133,172,30.889000,1.166000,32,6,0
1789336363.811653,173,30.518000,1.166000,32,6,0
1789336363.840840,175,29.189000,1.166000,32,7,0
1789336363.870788,177,29.945000,1.166000,32,7,0
1789336363.902055,179,31.267000,1.166000,32,8,0
1789336363.932147,180,30.095000,1.166000,32,8,0
1789336363.961052,182,28.906000,1.166000,32,9,0
1789336363.986966,184,25.914000,1.166000,32,10,0
1789336364.012702,185,25.732000,1.166000,32,10,0
1789336364.038667,187,25.968000,1.166000,32,10,0
1789336364.065148,189,26.482000,1.166000,32,11,0
1789336364.091618,190,26.470000,1.166000,32,11,0
1789336364.118937,192,27.306000,1.166000,32,11,0
1789336364.144816,193,25.892000,1.166000,32,12,0
1789336364.172248,195,27.432000,1.166000,32,12,0
1789336364.202878,197,30.631000,1.166000,32,13,0
1789336364.235305,198,32.424000,1.166000,32,13,0
1789336364.268635,200,33.331000,1.166000,32,15,0
1789336364.297317,202,28.682000,1.166000,32,16,0
1789336364.330608,204,33.294000,1.166000,32,17,0
1789336364.357204,205,26.596000,1.166000,32,19,0
1789336364.386857,207,29.654000,1.166000,32,21,0
1789336364.415955,209,29.098000,1.166000,32,22,0
1789336364.447593,211,31.639000,1.166000,32,24,0
1789336364.473480,212,25.884000,1.166000,32,24,0
1789336364.503289,214,29.811000,1.166000,32,24,0
1789336364.533232,216,29.941000,1.166000,32,25,0
1789336364.563751,218,30.522000,1.136000,32,25,0
1789336364.592168,219,28.416000,1.136000,32,25,0
1789336364.623887,221,31.721000,1.136000,32,26,0
1789336364.654422,223,30.535000,1.136000,32,26,0
1789336364.684704,225,30.281000,1.136000,32,26,0
1789336364.710283,226,25.580000,1.136000,32,26,0
1789336364.739365,228,29.083000,1.136000,32,26,0
1789336364.767876,230,28.511000,1.136000,32,27,0
1789336364.796937,232,29.049000,1.136000,32,27,0
1789336364.823991,233,27.066000,1.136000,32,27,0
1789336364.854411,235,30.420000,1.136000,32,27,0
1789336364.882350,237,27.940000,1.136000,32,27,0
1789336364.910190,239,27.827000,1.136000,32,27,0
1789336364.938219,240,28.042000,1.136000,32,28,0
1789336364.965410,242,27.191000,1.136000,32,28,0
1789336364.991753,244,26.343000,1.136000,32,28,0
1789336365.018337,245,26.582000,1.136000,32,28,0
1789336365.043498,247,25.164000,1.136000,32,28,0
1789336365.069537,249,26.039000,1.136000,32,28,0
1789336365.097721,251,28.185000,1.136000,32,28,0
1789336365.123713,252,25.992000,1.136000,32,28,0
1789336365.152966,254,29.254000,1.136000,32,29,0
1789336365.178968,256,26.001000,1.136000,32,29,0
1789336365.206472,257,27.505000,1.136000,32,29,0
1789336365.233550,259,27.077000,1.136000,32,29,0
1789336365.262445,261,28.897000,1.136000,32,30,0
1789336365.292625,262,30.178000,1.136000,32,30,0
1789336365.317889,264,25.265000,1.136000,32,30,0
1789336365.344123,265,26.235000,1.136000,32,30,0
1789336365.370207,267,26.083000,1.136000,32,31,0
1789336365.398592,269,28.386000,1.136000,32,31,0
1789336365.427042,270,28.450000,1.136000,32,31,0
1789336365.454652,272,27.611000,1.136000,32,31,0
1789336365.481151,274,26.499000,1.136000,32,31,0
1789336365.507133,275,25.979000,1.136000,32,31,0
1789336365.533244,277,26.114000,1.136000,32,31,0
1789336365.558483,278,25.240000,0.927000,32,31,0
1789336365.584574,280,26.091000,0.927000,32,31,0
1789336365.611441,281,26.867000,0.927000,32,31,0
1789336365.638673,283,27.232000,0.927000,32,31,0
1789336365.664145,285,25.473000,0.927000,32,31,0
1789336365.687093,286,22.948000,0.927000,32,31,0
1789336365.713512,288,26.420000,0.927000,32,31,0
1789336365.737721,289,24.208000,0.927000,32,31,0
1789336365.762262,291,24.542000,0.927000,32,31,0
1789336365.784854,292,22.591000,0.927000,32,31,0
1789336365.807471,293,22.617000,0.927000,32,31,0
1789336365.832834,295,25.363000,0.927000,32,31,0
1789336365.857816,296,24.979000,0.927000,32,31,0
1789336365.887541,298,29.729000,0.927000,32,32,0
1789336365.911892,299,24.352000,0.927000,32,32,0
1789336365.940711,301,28.818000,0.927000,32,32,0
1789336365.966053,302,25.342000,0.927000,32,32,0
1789336365.990662,304,24.610000,0.927000,32,32,0
1789336366.015560,305,24.897000,0.927000,32,32,0
1789336366.039616,307,24.058000,0.927000,32,32,0
1789336366.064939,308,25.309000,0.927000,32,32,0
1789336366.089191,310,24.266000,0.927000,32,32,0
1789336366.113030,311,23.839000,0.927000,32,32,0
1789336366.137063,313,24.033000,0.927000,32,32,0
1789336366.161063,314,24.000000,0.927000,32,32,0
1789336366.184229,315,23.165000,0.927000,32,32,0
1789336366.210064,317,25.835000,0.927000,32,32,0
1789336366.236677,318,26.614000,0.927000,32,32,0
1789336366.259003,320,22.328000,0.927000,32,32,0
1789336366.283135,321,24.131000,0.927000,32,32,0
1789336366.308113,323,24.979000,0.927000,32,32,0
1789336366.334475,324,26.363000,0.927000,32,32,0
1789336366.356546,326,22.070000,0.927000,32,32,0
1789336366.377357,327,20.811000,0.927000,32,32,0
1789336366.401893,329,24.537000,0.927000,32,32,0
1789336366.425509,330,23.615000,0.927000,32,32,0
1789336366.449310,331,23.800000,0.927000,32,32,0
1789336366.471893,333,22.585000,0.927000,32,32,0
1789336366.495162,334,23.268000,0.927000,32,32,0
1789336366.517283,336,22.123000,0.927000,32,32,0
1789336366.540867,337,23.583000,0.927000,32,32,0
1789336366.564806,339,23.940000,0.852000,32,32,0
1789336366.589642,340,24.836000,0.852000,32,32,0
1789336366.615045,342,25.404000,0.852000,32,32,0
1789336366.640667,343,25.621000,0.852000,32,32,0
1789336366.665605,345,24.938000,0.852000,32,32,0
1789336366.691017,346,25.409000,0.852000,32,32,0
1789336366.715752,347,24.738000,0.852000,32,32,0
1789336366.741116,349,25.365000,0.852000,32,32,0
1789336366.767499,350,26.383000,0.852000,32,32,0
1789336366.793444,352,25.946000,0.852000,32,32,0
1789336366.818170,353,24.726000,0.852000,32,32,0
1789336366.839522,355,21.352000,0.852000,32,32,0
1789336366.864949,356,25.427000,0.852000,32,32,0
1789336366.890826,358,25.875000,0.852000,32,32,0
1789336366.916238,359,25.411000,0.852000,32,32,0
1789336366.942645,361,26.410000,0.852000,32,32,0
1789336366.966683,362,24.039000,0.852000,32,32,0
1789336366.992337,364,25.655000,0.852000,32,32,0
1789336367.017095,365,24.757000,0.852000,32,32,0
1789336367.044864,367,27.770000,0.852000,32,32,0
1789336367.071306,368,26.441000,0.852000,32,32,0
1789336367.096320,370,25.015000,0.852000,32,32,0
1789336367.121213,371,24.892000,0.852000,32,32,0
1789336367.145370,373,24.157000,0.852000,32,32,0
1789336367.173450,374,28.080000,0.852000,32,32,0
1789336367.198888,376,25.440000,0.852000,32,32,0
1789336367.225859,377,26.970000,0.852000,32,32,0
1789336367.249789,379,23.931000,0.852000,32,32,0
1789336367.270100,380,20.308000,0.852000,32,32,0
1789336367.294222,382,24.122000,0.852000,32,32,0
1789336367.319609,383,25.388000,0.852000,32,32,0
1789336367.347446,385,27.840000,0.852000,32,32,0
1789336367.372594,386,25.148000,0.852000,32,32,0
1789336367.399442,388,26.849000,0.852000,32,32,0
1789336367.423233,389,23.790000,0.852000,32,32,0
1789336367.449466,391,26.234000,0.852000,32,32,0
1789336367.474420,392,24.954000,0.852000,32,32,0
1789336367.498152,394,23.733000,0.852000,32,32,0
1789336367.521634,395,23.481000,0.852000,32,32,0
1789336367.544626,397,22.993000,0.859000,32,32,0
1789336367.569602,398,24.976000,0.859000,32,32,0
1789336367.591959,400,22.358000,0.859000,32,32,0
1789336367.613819,401,21.859000,0.859000,32,32,0
1789336367.637428,403,23.609000,0.859000,32,32,0
1789336367.658678,404,21.251000,0.859000,32,32,0
1789336367.681144,405,22.465000,0.859000,32,32,0
1789336367.703156,407,22.013000,0.859000,32,32,0
1789336367.724986,408,21.830000,0.859000,32,32,0
1789336367.746571,410,21.586000,0.859000,32,32,0
1789336367.768687,411,22.116000,0.859000,32,32,0
1789336367.789754,412,21.067000,0.859000,32,32,0
1789336367.814014,414,24.261000,0.859000,32,32,0
1789336367.839305,415,25.289000,0.859000,32,32,0
1789336367.863251,417,23.947000,0.859000,32,32,0
1789336367.884845,418,21.593000,0.859000,32,32,0
1789336367.910077,419,25.233000,0.859000,32,32,0
1789336367.937970,421,27.894000,0.859000,32,32,0
1789336367.963789,422,25.819000,0.859000,32,32,0
1789336367.993695,424,29.906000,0.859000,32,32,0
1789336368.021340,425,27.645000,0.859000,32,32,0
1789336368.048324,427,26.984000,0.859000,32,32,0
1789336368.074337,428,26.014000,0.859000,32,32,0
1789336368.100704,430,26.367000,0.859000,32,32,0
1789336368.126370,431,25.667000,0.859000,32,32,0
1789336368.155212,433,28.843000,0.859000,32,32,0
1789336368.181066,435,25.854000,0.859000,32,32,0
1789336368.206571,436,25.504000,0.859000,32,32,0
1789336368.231814,438,25.244000,0.859000,32,32,0
1789336368.254316,439,22.501000,0.859000,32,32,0
1789336368.278561,441,24.247000,0.859000,32,32,0
1789336368.303431,442,24.868000,0.859000,32,32,0
1789336368.328118,444,24.688000,0.859000,32,32,0
1789336368.354866,445,26.747000,0.859000,32,32,0
1789336368.380077,447,25.213000,0.859000,32,32,0
1789336368.406137,448,26.059000,0.859000,32,32,0
1789336368.430195,450,24.059000,0.859000,32,32,0
1789336368.455665,452,25.469000,0.859000,32,32,0
1789336368.480539,453,24.876000,0.859000,32,32,0
1789336368.506506,455,25.967000,0.859000,32,32,0
1789336368.533191,456,26.684000,0.859000,32,32,0
1789336368.557692,458,24.503000,0.777000,32,32,0
1789336368.582853,459,25.160000,0.777000,32,32,0
1789336368.610104,461,27.253000,0.777000,32,32,0
1789336368.636764,462,26.659000,0.777000,32,32,0
1789336368.661985,464,25.219000,0.777000,32,32,0
1789336368.687530,465,25.542000,0.777000,32,32,0
1789336368.711638,467,24.114000,0.777000,32,32,0
1789336368.737986,469,26.348000,0.777000,32,32,0
1789336368.763583,470,25.597000,0.777000,32,32,0
1789336368.791248,472,27.665000,0.777000,32,32,0
1789336368.817869,473,26.621000,0.777000,32,32,0
1789336368.842890,475,25.022000,0.777000,32,32,0
1789336368.871103,476,28.211000,0.777000,32,32,0
1789336368.898164,478,27.064000,0.777000,32,32,0
1789336368.927506,479,29.329000,0.777000,32,32,0
1789336368.959683,481,32.194000,0.777000,0,0,0
1789336368.992427,483,32.743000,0.777000,0,0,0
1789336369.023426,485,30.999000,0.777000,0,0,0
1789336369.052963,487,29.538000,0.777000,0,0,0
1789336369.082281,489,29.318000,0.777000,0,0,0
1789336369.110330,490,28.048000,0.777000,0,0,0
1789336369.135879,492,25.550000,0.777000,0,0,0
1789336369.160575,494,24.697000,0.777000,0,0,0
1789336369.185969,496,25.394000,0.777000,0,0,0
1789336369.212447,498,26.478000,0.777000,0,0,0
1789336369.238829,499,26.382000,0.777000,0,0,0
1789336369.264394,501,25.566000,0.777000,0,0,0
1789336369.292539,502,28.144000,0.777000,0,0,0
1789336369.321970,504,29.432000,0.777000,0,0,0
1789336369.348688,506,26.718000,0.777000,0,0,0
1789336369.376555,507,27.867000,0.777000,0,0,0
1789336369.402407,509,25.853000,0.777000,0,0,0
1789336369.433015,510,30.588000,0.777000,192,0,0
1789336369.466898,512,33.884000,0.777000,192,0,0
1789336369.499116,514,32.217000,0.777000,192,0,0
1789336369.537011,516,37.894000,0.777000,192,0,0
1789336369.573048,518,36.030000,5.979000,192,0,0
1789336369.604861,520,31.822000,5.979000,192,0,0
1789336369.643311,522,38.434000,5.979000,192,0,0
1789336369.678390,524,35.082000,5.979000,192,0,0
1789336369.714999,526,36.608000,5.979000,192,0,0
1789336369.752519,529,37.526000,5.979000,192,0,0
1789336369.784653,531,32.145000,5.979000,192,0,0
1789336369.817033,533,32.375000,5.979000,192,0,0
1789336369.849125,535,32.098000,5.979000,192,0,0
1789336369.878655,537,29.530000,5.979000,192,0,0
1789336369.911131,539,32.476000,5.979000,192,0,0
1789336369.943440,541,32.309000,5.979000,192,0,0
1789336369.976840,543,33.390000,5.979000,192,0,0
1789336370.012757,545,35.928000,5.979000,192,0,0
1789336370.047039,547,34.283000,5.979000,192,0,0
1789336370.081483,549,34.443000,5.979000,192,0,0
1789336370.116250,551,34.762000,5.979000,192,0,0
1789336370.150717,553,34.473000,5.979000,192,0,0
1789336370.186723,555,36.006000,5.979000,192,0,0
1789336370.220971,557,34.249000,5.979000,192,0,0
1789336370.253718,559,32.747000,5.979000,192,0,0
1789336370.286679,561,32.961000,5.979000,192,0,0
1789336370.320716,563,34.036000,5.979000,192,0,0
1789336370.354992,565,34.277000,5.979000,192,0,0
1789336370.388911,567,33.910000,5.979000,192,0,0
1789336370.422534,569,33.633000,5.979000,192,0,0
1789336370.453737,571,31.203000,5.979000,192,0,0
1789336370.486908,573,33.172000,5.979000,192,0,0
1789336370.520856,575,33.948000,5.979000,192,0,0
1789336370.555911,577,35.054000,5.979000,192,0,0
1789336370.592725,580,36.815000,3.906000,192,0,0
1789336370.625697,582,32.972000,3.906000,192,0,0
1789336370.658124,584,32.429000,3.906000,192,0,0
1789336370.692332,586,34.207000,3.906000,192,0,0
1789336370.728374,588,36.042000,3.906000,192,0,0
1789336370.765107,590,36.733000,3.906000,192,0,0
1789336370.802756,592,37.650000,3.906000,192,0,0
1789336370.835871,594,33.116000,3.906000,192,0,0
1789336370.868119,596,32.247000,3.906000,192,0,0
1789336370.900021,598,31.903000,3.906000,192,0,0
1789336370.935473,600,35.450000,3.906000,192,0,0
1789336370.970886,602,35.415000,3.906000,192,0,0
1789336371.003662,604,32.776000,3.906000,192,0,0
1789336371.034196,606,30.519000,3.906000,192,0,0
1789336371.068502,608,34.321000,3.906000,192,0,0
1789336371.104167,610,35.660000,3.906000,192,0,0
1789336371.139019,612,34.859000,3.906000,192,0,0
1789336371.172872,614,33.846000,3.906000,192,0,0
1789336371.204738,616,31.872000,3.906000,192,0,0
1789336371.236525,618,31.788000,3.906000,192,0,0
1789336371.271429,620,34.904000,3.906000,192,0,0
1789336371.306743,622,35.302000,3.906000,192,0,0
1789336371.336583,624,29.843000,3.906000,192,0,0
1789336371.367406,626,30.833000,3.906000,192,0,0
1789336371.397655,628,30.248000,3.906000,192,0,0
1789336371.431352,630,33.698000,3.906000,192,0,0
1789336371.460948,632,29.579000,3.906000,192,0,0
1789336371.490957,634,30.011000,3.906000,192,0,0
1789336371.522754,636,31.813000,3.906000,192,0,0
1789336371.555351,638,32.599000,3.906000,192,0,0
1789336371.585591,640,30.238000,5.421000,192,0,0
1789336371.616495,642,30.905000,5.421000,192,0,0
1789336371.643981,643,27.484000,5.421000,192,0,0
1789336371.674640,645,30.663000,5.421000,192,0,0
1789336371.702673,647,28.032000,5.421000,192,1,0
1789336371.728894,648,26.221000,5.421000,192,1,0
1789336371.765025,650,36.121000,5.421000,192,2,0
1789336371.801129,652,36.116000,5.421000,192,2,0
1789336371.834282,654,33.153000,5.421000,192,2,0
1789336371.871316,656,37.034000,5.421000,192,3,0
1789336371.903616,658,32.300000,5.421000,192,3,0
1789336371.936907,660,33.291000,5.421000,192,3,0
1789336371.969954,662,33.030000,5.421000,192,3,0
1789336372.005266,664,35.329000,5.421000,192,3,0
1789336372.038480,666,33.215000,5.421000,192,3,0
1789336372.075104,668,36.624000,5.421000,192,3,0
1789336372.108500,670,33.396000,5.421000,192,5,0
1789336372.146198,672,37.686000,5.421000,192,9,0
1789336372.184280,675,38.096000,5.421000,192,10,0
1789336372.216684,677,32.404000,5.421000,192,11,0
1789336372.250661,679,33.975000,5.421000,192,11,0
1789336372.281792,681,31.133000,5.421000,192,11,0
1789336372.314151,683,32.359000,5.421000,192,11,0
1789336372.346673,685,32.522000,5.421000,192,12,0
1789336372.382296,687,35.624000,5.421000,192,13,0
1789336372.414910,689,32.614000,5.421000,192,16,0
1789336372.444683,691,29.772000,5.421000,192,19,0
1789336372.476149,693,31.466000,5.421000,192,23,0
1789336372.509997,695,33.849000,5.421000,192,24,0
1789336372.545729,697,35.732000,5.421000,192,27,0
1789336372.578605,699,32.876000,3.086000,192,27,0
1789336372.614832,701,36.224000,3.086000,192,27,0
1789336372.650656,703,35.827000,3.086000,192,30,0
1789336372.690164,705,39.494000,3.086000,192,30,0
1789336372.732623,708,42.474000,3.086000,192,37,0
1789336372.771539,710,38.918000,3.086000,192,39,0
1789336372.808577,712,37.033000,3.086000,192,43,0
1789336372.842985,714,34.414000,3.086000,192,43,0
1789336372.879920,716,36.926000,3.086000,192,47,0
1789336372.918959,719,39.022000,3.086000,192,52,0
1789336372.954800,721,35.863000,3.086000,192,54,0
1789336372.989397,723,34.602000,3.086000,192,57,0
1789336373.026406,725,37.007000,3.086000,192,59,0
1789336373.063945,727,37.527000,3.086000,192,62,0
1789336373.103538,730,39.595000,3.086000,192,66,0
1789336373.144988,732,41.448000,3.086000,192,70,0
1789336373.180985,734,36.012000,3.086000,192,71,0
1789336373.213675,736,32.691000,3.086000,192,73,0
1789336373.252801,739,39.127000,3.086000,192,76,0
1789336373.285556,741,32.747000,3.086000,192,76,0
1789336373.317976,743,32.428000,3.086000,192,77,0
1789336373.350746,745,32.770000,3.086000,192,79,0
1789336373.387044,748,36.299000,3.086000,192,80,0
1789336373.423240,750,36.193000,3.086000,192,80,0
1789336373.453673,752,30.436000,3.086000,192,81,0
1789336373.487431,754,33.754000,3.086000,192,83,0
1789336373.522376,756,34.948000,3.086000,192,85,0
1789336373.555529,758,33.155000,3.086000,192,89,0
1789336373.589492,760,33.962000,3.738000,192,89,0
