unix_seconds,tick,interval_ms,physics_ms,active,sleeping,capture_overlap
1789336291.030608,2,2.117000,0.000000,32,0,1
1789336291.214094,10,183.490000,0.000000,32,0,1
1789336291.312625,17,98.532000,0.000000,32,0,0
1789336291.344450,19,31.823000,0.000000,32,0,0
1789336291.374161,21,29.711000,0.000000,32,0,0
1789336291.405214,22,31.053000,0.000000,32,0,0
1789336291.434539,24,29.326000,0.000000,32,0,0
1789336291.464377,26,29.838000,0.000000,32,0,0
1789336291.492703,28,28.328000,0.000000,32,0,0
1789336291.520808,29,28.106000,0.000000,32,0,0
1789336291.552183,31,31.375000,0.000000,32,0,1
1789336291.617182,34,64.998000,0.000000,32,0,1
1789336291.645028,36,27.847000,10.629000,32,0,0
1789336291.672670,38,27.643000,10.629000,32,0,0
1789336291.701193,40,28.522000,10.629000,32,0,0
1789336291.731169,42,29.974000,10.629000,32,0,0
1789336291.761383,44,30.215000,10.629000,32,0,0
1789336291.791088,46,29.708000,10.629000,32,0,0
1789336291.819534,47,28.446000,10.629000,32,0,0
1789336291.847174,49,27.638000,10.629000,32,0,0
1789336291.878200,51,31.029000,10.629000,32,0,0
1789336291.910149,53,31.948000,10.629000,32,0,0
1789336291.946831,55,36.681000,10.629000,32,0,0
1789336291.981036,57,34.206000,10.629000,32,0,0
1789336292.012548,59,31.512000,10.629000,32,0,0
1789336292.037885,60,25.338000,10.629000,32,0,1
1789336292.111372,64,73.489000,10.629000,32,0,0
1789336292.146159,67,34.786000,10.629000,32,0,0
1789336292.183380,69,37.222000,10.629000,32,0,0
1789336292.219727,71,36.348000,10.629000,32,0,0
1789336292.255836,73,36.108000,10.629000,32,0,0
1789336292.291315,76,35.466000,10.629000,32,0,0
1789336292.324965,78,33.665000,10.629000,32,0,0
1789336292.359386,80,34.417000,10.629000,32,0,0
1789336292.392294,82,32.912000,10.629000,32,0,0
1789336292.425576,84,33.282000,10.629000,32,0,0
1789336292.461520,86,35.944000,10.629000,32,0,0
1789336292.495888,88,34.369000,10.629000,32,0,0
1789336292.530023,90,34.132000,10.629000,32,0,1
1789336292.617571,94,87.552000,10.629000,32,0,0
1789336292.654102,97,36.531000,1.181000,32,0,1
1789336292.728069,101,73.967000,1.181000,32,0,0
1789336292.762902,104,34.834000,1.181000,32,0,1
1789336292.837678,108,74.777000,1.181000,32,0,1
1789336292.916917,112,79.238000,1.181000,32,0,0
1789336292.950393,115,33.477000,1.181000,32,0,1
1789336293.022505,119,72.113000,1.181000,32,0,0
1789336293.070891,122,48.386000,1.181000,32,0,1
1789336293.154780,126,83.891000,1.181000,32,0,1
1789336293.233680,131,78.900000,1.181000,32,0,0
1789336293.271377,134,37.697000,1.181000,32,0,1
1789336293.340136,138,68.760000,1.181000,32,0,1
1789336293.420151,142,80.015000,1.181000,32,1,0
1789336293.453955,145,33.805000,1.181000,32,1,1
1789336293.529132,149,75.177000,1.181000,32,2,0
1789336293.562689,152,33.558000,1.181000,32,2,1
1789336293.627381,156,64.691000,1.181000,32,2,0
1789336293.656236,158,28.856000,1.221000,32,3,0
1789336293.686573,159,30.338000,1.221000,32,3,0
1789336293.714850,161,28.276000,1.221000,32,3,0
1789336293.743596,163,28.748000,1.221000,32,3,0
1789336293.771843,164,28.245000,1.221000,32,3,0
1789336293.802451,166,30.609000,1.221000,32,3,0
1789336293.831448,168,28.997000,1.221000,32,3,0
1789336293.859952,170,28.505000,1.221000,32,3,0
1789336293.889878,171,29.926000,1.221000,32,3,0
1789336293.914192,173,24.314000,1.221000,32,5,0
1789336293.943172,175,28.980000,1.221000,32,6,0
1789336293.973261,177,30.090000,1.221000,32,6,0
1789336294.003705,178,30.442000,1.221000,32,7,0
1789336294.033695,180,29.990000,1.221000,32,8,0
1789336294.060853,182,27.161000,1.221000,32,8,0
1789336294.088126,183,27.256000,1.221000,32,9,0
1789336294.118180,185,30.071000,1.221000,32,9,0
1789336294.143976,187,25.796000,1.221000,32,9,0
1789336294.167766,188,23.791000,1.221000,32,9,0
1789336294.195444,190,27.677000,1.221000,32,9,0
1789336294.222003,191,26.558000,1.221000,32,9,0
1789336294.249315,193,27.314000,1.221000,32,9,0
1789336294.276357,195,27.043000,1.221000,32,9,0
1789336294.303799,196,27.441000,1.221000,32,9,0
1789336294.326891,198,23.089000,1.221000,32,9,0
1789336294.349998,199,23.111000,1.221000,32,11,0
1789336294.373311,201,23.313000,1.221000,32,12,0
1789336294.396729,202,23.417000,1.221000,32,12,0
1789336294.422565,204,25.838000,1.221000,32,14,0
1789336294.447321,205,24.756000,1.221000,32,16,0
1789336294.469876,206,22.553000,1.221000,32,16,0
1789336294.493647,208,23.773000,1.221000,32,16,0
1789336294.520256,209,26.609000,1.221000,32,17,0
1789336294.546604,211,26.348000,1.221000,32,18,1
1789336294.609632,214,63.027000,1.221000,32,20,1
1789336294.639310,216,29.680000,1.009000,32,20,0
1789336294.664119,218,24.802000,1.009000,32,21,0
1789336294.691075,220,26.964000,1.009000,32,21,0
1789336294.717041,221,25.963000,1.009000,32,21,0
1789336294.742546,223,25.508000,1.009000,32,22,0
1789336294.766508,224,23.962000,1.009000,32,22,0
1789336294.791089,226,24.579000,1.009000,32,22,0
1789336294.815323,227,24.236000,1.009000,32,23,0
1789336294.837580,228,22.259000,1.009000,32,23,0
1789336294.861427,230,23.846000,1.009000,32,23,0
