Godot Engine v4.5.1.stable.official.f62fdbde1 - https://godotengine.org
WARNING: Could not set V-Sync mode, as changing V-Sync mode is not supported by the graphics driver.
     at: set_use_vsync (platform/linuxbsd/x11/gl_manager_x11.cpp:364)
OpenGL API 4.5 (Core Profile) Mesa 26.0.8-1ubuntu0.3 - Compatibility - Using Device: Mesa - llvmpipe (LLVM 21.1.8, 256 bits)

SOUND_OUTPUT driver=Dummy device=Default (routing diagnostic, NOT proof of listening)
INTEGRATION_ASSERT default_launch / actual_default_main_scene PASS
INTEGRATION_ASSERT default_launch / linux_rendered_production_services PASS
INTEGRATION_ASSERT default_launch / capture_default-playing PASS
INTEGRATION_ASSERT default_launch / R_ignored_while_playing PASS
INTEGRATION_ASSERT default_launch / normal_input_combat_destroys_pylon_and_routes_sound PASS
INTEGRATION_ASSERT default_launch / production_opposition_spawns PASS
INTEGRATION_ASSERT default_launch / pause_hud_live_bindings PASS
INTEGRATION_ASSERT default_launch / pause_freezes_all_active_timers_and_world PASS
INTEGRATION_ASSERT default_launch / capture_paused-visible PASS
INTEGRATION_ASSERT default_launch / capture_paused-hud-hidden PASS
INTEGRATION_ASSERT default_launch / capture_paused-panel-hidden PASS
INTEGRATION_ASSERT default_launch / capture_paused-restored PASS
INTEGRATION_ASSERT default_launch / capture_extraction-locked PASS
INTEGRATION_ASSERT default_launch / capture_locked-marker-hidden PASS
INTEGRATION_ASSERT default_launch / capture_locked-marker-restored PASS
INTEGRATION_ASSERT default_launch / capture_paused-4x3 PASS
INTEGRATION_ASSERT default_launch / hud_and_panel_fit_4x3 PASS
INTEGRATION_ASSERT default_launch / resume_advances_without_resurrecting_held_controls PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / retry_has_live_opposition PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / fixture_dirty_live_domains PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / terminal_correct_and_single_callback PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / terminal_health_time_reason_hud PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / terminal_idempotent_and_cannot_resume PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / capture_victory-fixture PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / capture_extraction-open-fixture PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / capture_victory-marker-hidden PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / capture_victory-marker-restored PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / fresh_player_clock_and_input PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / cooldowns_shots_and_damage_feedback_reset PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / three_fresh_solid_pylons_and_locked_exit PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / prior_objects_freed PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / bolts_debris_voices_cleared_immediately PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / opposition_seed_clock_warnings_restored PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / no_node_bus_or_callback_growth PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / hud_reset_before_return PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / exactly_one_reset_notification_each PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / playing_observers_see_complete_reset PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / no_stale_fire_or_dash_after_retry PASS
INTEGRATION_ASSERT forced_terminal_cycle_0 / fresh_input_moves_and_fires_once_after_retry PASS
INTEGRATION_ASSERT forced_terminal_cycle_1 / retry_has_live_opposition PASS
INTEGRATION_ASSERT forced_terminal_cycle_1 / fixture_dirty_live_domains PASS
INTEGRATION_ASSERT forced_terminal_cycle_1 / terminal_correct_and_single_callback PASS
INTEGRATION_ASSERT forced_terminal_cycle_1 / terminal_health_time_reason_hud PASS
INTEGRATION_ASSERT forced_terminal_cycle_1 / terminal_idempotent_and_cannot_resume PASS
INTEGRATION_ASSERT forced_terminal_cycle_1 / capture_death-fixture PASS
