tick,event,id
30,destruction_sound,-1
95,ground_contact,11
95,impact_sound,11
97,ground_contact,2
100,ground_contact,16
100,impact_sound,16
102,ground_contact,15
104,ground_contact,2
104,impact_sound,2
104,ground_contact,3
106,ground_contact,10
106,ground_contact,14
106,ground_contact,21
106,ground_contact,31
108,ground_contact,19
108,impact_sound,19
109,ground_contact,13
109,ground_contact,24
110,ground_contact,12
110,ground_contact,22
111,ground_contact,17
111,impact_sound,17
112,ground_contact,0
113,ground_contact,2
113,ground_contact,29
114,ground_contact,4
114,impact_sound,4
114,ground_contact,20
114,ground_contact,31
115,ground_contact,9
116,ground_contact,5
116,ground_contact,8
116,ground_contact,27
117,ground_contact,18
117,impact_sound,18
118,ground_contact,1
118,ground_contact,23
119,ground_contact,15
120,ground_contact,3
120,impact_sound,3
120,ground_contact,10
120,ground_contact,22
121,ground_contact,6
121,ground_contact,12
122,ground_contact,7
122,ground_contact,21
123,ground_contact,10
123,impact_sound,10
124,ground_contact,3
124,ground_contact,11
124,ground_contact,14
124,ground_contact,22
124,ground_contact,30
124,ground_contact,31
125,ground_contact,12
126,ground_contact,26
126,impact_sound,26
127,ground_contact,24
127,ground_contact,25
129,ground_contact,8
129,impact_sound,8
129,ground_contact,22
129,ground_contact,25
129,ground_contact,28
130,ground_contact,4
130,ground_contact,16
130,ground_contact,19
131,ground_contact,9
131,ground_contact,13
131,ground_contact,24
132,ground_contact,4
132,impact_sound,4
134,ground_contact,2
134,ground_contact,21
135,ground_contact,25
135,impact_sound,25
136,ground_contact,11
138,ground_contact,2
138,impact_sound,2
138,ground_contact,25
141,ground_contact,22
141,impact_sound,22
143,ground_contact,6
143,ground_contact,27
144,ground_contact,9
144,impact_sound,9
144,ground_contact,15
145,ground_contact,1
145,ground_contact,11
145,ground_contact,14
145,ground_contact,16
145,ground_contact,28
146,ground_contact,10
146,ground_contact,21
146,ground_contact,22
147,ground_contact,7
147,impact_sound,7
147,ground_contact,14
147,ground_contact,18
148,ground_contact,19
149,ground_contact,0
149,ground_contact,1
149,ground_contact,5
150,ground_contact,2
150,impact_sound,2
150,ground_contact,11
150,ground_contact,13
150,ground_contact,17
150,ground_contact,24
151,ground_contact,28
151,ground_contact,31
152,ground_contact,16
153,ground_contact,2
153,impact_sound,2
153,ground_contact,4
153,ground_contact,17
154,ground_contact,3
154,ground_contact,8
154,ground_contact,9
154,ground_contact,12
154,ground_contact,22
155,ground_contact,0
155,ground_contact,30
156,ground_contact,19
156,impact_sound,19
156,ground_contact,27
157,ground_contact,23
158,ground_contact,15
158,ground_contact,21
158,ground_contact,24
160,ground_contact,13
160,impact_sound,13
160,ground_contact,21
160,ground_contact,29
161,ground_contact,16
162,ground_contact,20
162,ground_contact,29
164,ground_contact,2
164,impact_sound,2
164,ground_contact,6
164,ground_contact,15
164,ground_contact,16
164,ground_contact,17
165,ground_contact,7
165,ground_contact,18
166,ground_contact,0
166,ground_contact,1
166,ground_contact,3
167,ground_contact,7
167,impact_sound,7
168,ground_contact,0
168,ground_contact,3
168,ground_contact,9
170,ground_contact,6
170,impact_sound,6
170,ground_contact,17
171,ground_contact,2
171,ground_contact,27
172,ground_contact,8
172,ground_contact,16
173,ground_contact,0
173,impact_sound,0
173,ground_contact,26
173,ground_contact,29
174,ground_contact,17
175,ground_contact,18
175,ground_contact,30
177,ground_contact,24
177,impact_sound,24
177,ground_contact,30
179,ground_contact,3
179,ground_contact,4
179,ground_contact,8
179,ground_contact,14
179,ground_contact,31
180,ground_contact,5
180,impact_sound,5
180,ground_contact,15
181,ground_contact,0
182,ground_contact,1
182,ground_contact,6
182,ground_contact,21
184,ground_contact,3
184,impact_sound,3
184,ground_contact,14
184,ground_contact,29
185,ground_contact,27
185,ground_contact,31
186,ground_contact,8
186,ground_contact,24
187,ground_contact,4
187,impact_sound,4
187,ground_contact,16
187,ground_contact,18
187,ground_contact,27
188,ground_contact,6
188,ground_contact,26
188,ground_contact,29
188,ground_contact,31
189,ground_contact,18
189,ground_contact,20
190,ground_contact,27
190,impact_sound,27
191,ground_contact,1
192,ground_contact,4
192,ground_contact,6
192,ground_contact,8
192,ground_contact,17
192,ground_contact,20
193,ground_contact,24
193,impact_sound,24
193,ground_contact,26
194,ground_contact,23
